V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0485,-5.4706,-16.542,-17.862,255.01,42.29,-4.1498,5.3481,1.0426,-0.38282,48.722,11.091,8.7473,3.8231,6.1012,1.6949,20.232,14.771,4.1925,13.372
1.045,1.07,1.0585,-4.696,-13.405,-14.272,219.44,37.799,-3.0468,8.6781,0.6762,-1.2264,29.724,12.148,3.4969,2.4903,5.0886,1.4753,11.982,13.577,4.9667,28.376
1.045,1.07,1.054,-4.6861,-13.656,-14.137,219.06,37.268,-4.0702,8.0223,1.9735,-1.8032,29.617,11.477,8.8295,3.6418,9.6004,1.2694,12.192,9.8948,6.3151,25.771
1.045,1.07,1.0582,-4.4213,-13.489,-14.566,207.07,17.26,-4.0084,4.2667,1.5355,-1.1516,41.504,8.6478,5.286,3.5174,4.7416,0.86652,16.187,13.973,2.1078,13.659
1.045,1.07,1.056,-4.6193,-12.879,-13.193,215.6,46.448,-3.0405,7.913,2.3707,-0.61421,18.581,7.7178,7.1379,2.8051,7.7337,1.7634,7.6253,18.413,6.8172,26.19
1.045,1.07,1.0571,-4.4809,-13.25,-13.374,209.86,31.28,-4.6993,8.1074,1.912,-0.11902,16.097,10.814,7.0433,4.3859,6.4025,1.291,12.477,21.829,6.3342,25.716
1.045,1.07,1.0616,-4.3651,-12.837,-13.821,204.24,23.721,-2.8444,4.6343,1.134,1.0438,36.504,6.0255,2.603,1.4986,5.5976,1.4473,13.704,13.674,2.2105,15.964
1.045,1.07,1.051,-5.5416,-15.974,-17.812,258.13,47.728,-3.0974,9.7235,0.9397,0.93693,51.364,7.9503,5.6721,3.3437,6.6125,2.2791,10.658,16.556,2.6289,24.99
1.045,1.07,1.0551,-4.8116,-13.802,-14.678,224.72,39.375,-4.1842,8.8195,1.9465,-0.35309,37.842,7.9427,5.5087,3.5255,4.9959,2.026,16.29,6.6707,6.7976,27.977
1.045,1.07,1.0512,-4.9784,-14.256,-15.404,232.14,42.074,-1.8004,7.7261,2.0726,1.1732,34.44,7.1671,7.2044,4.7794,3.4702,1.6475,10.249,20.411,6.5638,22.156
1.045,1.07,1.0559,-5.1233,-14.407,-15.589,238.84,49.581,-6.0471,9.0317,1.2839,0.63447,33.996,12.605,4.2556,3.1671,3.1827,1.552,13.714,11.849,4.882,27.091
1.045,1.07,1.0564,-4.6466,-12.717,-13.461,216.37,50.157,-2.1896,4.1882,1.845,0.18271,26.811,6.277,6.8896,5.2563,3.9057,2.6009,9.5158,11.162,4.54,14.219
1.045,1.07,1.0584,-4.8812,-14.305,-14.768,227.83,42.78,-3.9333,5.4461,2.0273,0.64689,27.93,4.6357,3.6738,2.7108,8.2145,1.1998,14.617,20.609,5.4173,16.488
1.045,1.07,1.0553,-4.9555,-14.51,-15.103,231.3,43.709,-5.3847,6.0634,1.178,-0.33204,31.109,5.7261,5.731,5.0069,7.7098,1.4799,13.596,18.208,6.5577,18.087
1.045,1.07,1.0509,-5.2451,-15.086,-16.697,244.62,42.095,-3.5425,10.314,1.4308,0.34485,50.681,6.5707,6.4574,1.3253,5.1271,1.6551,14.15,12.308,5.03,28.44
1.045,1.07,1.0615,-4.5724,-13.046,-13.289,213.44,44.124,-5.2812,4.2357,1.9617,-0.18684,14.319,15.505,4.1103,2.4947,6.3918,1.0485,13.272,14.553,3.9192,14.513
1.045,1.07,1.0547,-5.0991,-15.468,-16.073,238.41,34.385,-1.095,9.719,1.8067,0.69251,33.119,8.0361,4.3078,3.6117,6.0309,1.6507,19.868,21.593,6.1493,26.427
1.045,1.07,1.0575,-4.6796,-14.036,-14.748,218.95,29.051,-3.1665,6.7138,1.1795,-1.0923,32.373,11.971,5.1291,2.0011,6.1746,1.0123,17.008,15.502,4.002,20.9
1.045,1.07,1.0642,-4.2703,-11.936,-12.427,200.05,31.663,-6.1219,10.376,1.9016,0.87166,20.019,6.2127,1.5768,0.51968,5.5991,1.0744,9.0381,18.247,4.2733,38.427
1.045,1.07,1.0526,-5.1836,-14.603,-15.416,241.46,55.37,-4.7799,8.1411,2.0585,-0.39132,32.416,7.795,7.4749,3.9929,7.8115,2.112,10.919,13.993,6.3912,23.892
1.045,1.07,1.0576,-4.5778,-12.174,-13.262,213.29,47.878,-3.9102,7.2464,1.985,1.0685,31.348,8.0631,4.4894,2.6417,4.0732,1.6712,7.3945,5.05,5.8217,25.496
1.045,1.07,1.0607,-4.9341,-13.398,-13.693,229.93,60.704,-4.448,9.0409,0.96408,0.56328,22.645,7.1684,5.16,1.5462,5.7467,1.4374,16.646,5.7924,2.9105,29.922
1.045,1.07,1.0545,-5.3617,-15.183,-15.668,249.35,64.721,-3.3002,4.6469,1.4049,1.1121,28.997,4.4833,5.4502,3.6886,5.3919,1.7377,18.923,15,6.6896,13.184
1.045,1.07,1.0582,-4.7669,-14.176,-14.223,223.17,36.848,-6.1762,9.6918,1.5738,0.21961,18.163,11.487,8.2741,4.8916,5.0888,1.6173,19.196,17.884,2.554,30.417
1.045,1.07,1.0582,-4.5447,-13.344,-13.663,212.63,32.647,-2.7035,7.4152,1.9396,1.3569,22.108,9.792,5.9042,2.8546,8.3183,1.1585,12.846,16.623,5.063,24.437
1.045,1.07,1.0537,-4.3621,-12.966,-13.644,204.57,21.118,-5.7797,9.3701,1.9145,-1.5531,31.715,9.5323,8.5018,4.6376,10.012,1.2493,6.7892,15.034,7.7244,30.605
1.045,1.07,1.0559,-5.3079,-15.937,-16.518,247.82,44.773,-5.1876,8.137,1.5708,-0.83038,34.236,12.699,4.9915,4.4783,7.9457,1.9807,21.375,12.891,4.1843,22.437
1.045,1.07,1.0609,-4.6108,-12.034,-12.56,214.79,57.713,-4.7867,8.2033,1.617,0.40242,20.047,6.3209,2.7237,1.0461,6.1488,0.99141,7.1429,9.0791,6.6129,29.436
1.045,1.07,1.0595,-4.9104,-13.013,-12.954,228.49,69.284,-0.92015,8.5017,1.6976,-0.55272,12.206,6.5368,4.7996,1.8995,5.2653,1.6735,13.913,11.368,5.8554,28.141
1.045,1.07,1.0596,-4.7146,-13.257,-13.707,219.83,48.891,-4.4106,4.8425,1.8395,-0.4631,24.049,7.5336,4.6355,3.5596,6.8782,1.668,12.201,13.082,4.5129,16.199
1.045,1.07,1.0597,-4.5465,-12.925,-13.131,212.47,41.135,-2.326,7.8094,1.9133,-0.26834,20.814,5.2182,5.2308,3.8196,7.4249,1.7183,11.585,16.321,4.7497,26.693
1.045,1.07,1.0553,-5.1544,-14.996,-15.645,240.26,50.959,-5.0846,5.2533,0.8754,-0.83125,34.1,8.063,6.8748,5.7236,8.0559,1.9697,16.001,11.662,4.1196,15.427
1.045,1.07,1.059,-4.5674,-12.888,-13.865,213.45,36.016,-4.0193,8.345,0.97436,-1.2466,36.341,8.9705,4.5819,1.3435,7.8389,1.5565,10.186,7.1467,3.7393,28.641
1.045,1.07,1.0577,-5.0549,-14.591,-14.878,235.98,49.099,-2.0587,9.9509,1.818,-0.51621,27.108,7.1277,5.6498,5.4627,8.7679,1.6706,15.664,12.533,4.0009,30.264
1.045,1.07,1.0592,-4.8941,-14.265,-14.204,228.71,46.641,-4.5183,8.9043,1.6135,0.19253,17.101,13.028,3.8837,3.3337,8.8636,1.4461,17.99,12.493,7.1152,28.034
1.045,1.07,1.0592,-4.3855,-12.762,-13.159,205.26,30.04,-2.9782,7.3356,2.3584,0.079463,26.932,7.1873,4.6841,4.6352,4.0926,1.66,16.617,10.456,5.9326,25.679
1.045,1.07,1.0542,-4.9616,-14.438,-15.243,231.43,42.976,-2.942,5.7998,1.6642,0.78456,29.315,10.273,6.3323,3.1486,3.738,1.7548,15.658,19.157,5.3017,17.031
1.045,1.07,1.053,-5.2591,-15.297,-15.942,244.92,54.433,-3.3152,4.6389,1.122,-1.3679,29.271,12.749,6.4858,4.9024,10.403,0.90149,11.673,16.306,6.5835,13.005
1.045,1.07,1.0518,-5.6387,-15.946,-16.699,262.25,68.23,-5.0341,8.0117,1.6516,-1.5469,27.669,10.756,9.883,4.953,6.3254,1.2074,12.79,21.198,1.9219,21.114
1.045,1.07,1.0542,-4.9404,-13.383,-14.123,230.33,55.691,-4.2791,11.431,1.313,-1.6015,21.958,14.394,8.727,3.4786,4.0424,2.3524,8.4552,12.277,4.6655,36.537
1.045,1.07,1.0426,-6.8205,-20.049,-21.986,316.4,75.656,-3.1945,8.1004,1.1607,1.2449,56.007,9.825,6.6263,5.1733,6.8918,1.6521,18.336,24.186,4.0385,15.537
1.045,1.07,1.056,-4.7473,-13.769,-14.508,221.84,37.853,-4.3379,7.6681,0.64147,-1.3703,30.388,12.27,6.8658,3.2138,6.9451,1.1938,12.588,12.867,4.5744,24.433
1.045,1.07,1.0576,-5.0201,-13.843,-15.123,233.93,50.454,-4.3785,9.132,1.8041,-0.55478,33.647,9.6824,4.0481,2.9092,5.3728,1.7178,6.7965,15.879,2.5062,28.224
1.045,1.07,1.0598,-5.0196,-14.53,-15.257,234.16,45.407,-1.6199,7.1548,1.6627,0.28944,29.878,7.9625,1.2052,2.6573,5.5333,1.5357,16.076,18.435,4.1617,21.44
1.045,1.07,1.0515,-5.2732,-14.887,-16.394,245.59,49.915,-3.055,8.9431,1.6833,-0.29569,41.608,10.479,6.5497,4.2853,5.3544,1.8051,8.9522,14.503,4.5054,25.033
1.045,1.07,1.0597,-4.5839,-13.248,-14.095,214.3,32.366,-3.4982,7.232,1.1773,1.683,30.458,10.881,2.6208,3.3763,4.7275,2.0553,14.153,10.751,5.0405,24.222
1.045,1.07,1.0568,-4.9321,-14.086,-14.636,230.31,46.317,-4.9922,9.7339,1.5462,-0.80849,31.841,6.4429,6.3255,4.3052,4.03,1.3405,18.643,9.6359,4.7303,30.686
1.045,1.07,1.0559,-4.9868,-14.057,-15.609,232.41,43.278,-3.258,7.0023,1.1526,0.37759,43.643,8.1103,2.8501,2.5729,5.6473,1.1474,9.1712,12.16,4.8499,21.163
1.045,1.07,1.0619,-4.172,-10.933,-11.715,194.7,42.447,-5.8672,6.261,1.5436,-0.49286,15.103,18.387,3.2218,2.7327,3.2572,1.6766,3.9285,6.1105,5.0758,24.621
1.045,1.07,1.057,-4.9073,-13.842,-14.7,229.2,42.577,-2.9978,11.991,2.0647,1.5111,28.73,10.224,3.8861,4.4018,1.4547,1.4438,15.358,12.863,5.608,37.659
1.045,1.07,1.0583,-4.5962,-12.767,-13.548,214.41,44.096,-3.1392,5.9734,1.0638,-0.99904,23.343,12.064,5.4025,2.9121,3.0103,1.0994,10.198,15.032,3.9507,20.291
1.045,1.07,1.0567,-5.0472,-14.306,-15.37,235.26,47.927,-3.6749,7.5166,1.7388,0.17233,28.475,12.623,2.5423,4.2273,8.5138,1.6391,5.1175,19.791,5.8134,22.284
1.045,1.07,1.0554,-5.4148,-14.852,-15.819,251.73,66.383,-2.073,8.3762,1.8912,0.60075,28.835,10.721,4.2278,4.3791,7.1568,2.2953,8.9174,13.883,4.5521,23.926
1.045,1.07,1.0571,-4.7223,-13.4,-14.047,220.43,42.364,-4.8278,7.2617,2.5729,1.3034,26.319,10.337,6.6968,4.4481,4.3582,1.7366,13.984,10.8,4.0978,23.886
1.045,1.07,1.0521,-5.0871,-14.398,-15.623,237.04,47.723,-1.774,7.7269,0.72951,-0.057869,36.126,4.3532,6.8551,3.6569,2.7387,1.9784,10.184,23.373,5.073,21.765
1.045,1.07,1.0592,-4.2697,-12.638,-12.985,200.14,24.183,-3.9297,7.4243,2.2496,-1.2104,23.31,8.3262,6.0714,2.5326,6.7095,1.6706,12.179,19.068,4.563,25.395
1.045,1.07,1.0577,-4.5573,-12.497,-13.108,212.19,50.468,-4.4994,2.3187,2.2732,-0.68883,21.21,10.971,5.3581,5.0014,4.1201,1.4729,9.2527,10.968,6.3358,8.0631
1.045,1.07,1.0514,-5.5531,-16.472,-17.732,258.64,48.958,-1.9842,6.4384,1.2531,-0.21599,45.536,7.9762,3.4511,5.1686,7.1985,1.2278,16.414,17.736,6.9638,16.25
1.045,1.07,1.0524,-5.0262,-14.517,-16.06,234.44,38.522,-6.0951,7.2599,2.3787,0.43825,42.026,12.92,3.3426,1.0759,6.4852,0.83666,9.6999,15.222,8.7175,20.683
1.045,1.07,1.0542,-5.5935,-16.749,-17.453,260.64,53.109,-5.2582,5.9194,1.6067,0.26287,39.761,7.6005,5.0729,3.675,8.3637,1.921,23.097,15.21,4.4003,15.258
1.045,1.07,1.0506,-5.4716,-16.023,-17.767,255.03,43.689,-3.9817,8.8655,1.1407,0.0051869,52.362,8.7433,4.3176,3.3495,5.2151,1.2513,14.696,15.179,5.6881,22.761
1.045,1.07,1.0502,-5.3847,-16.025,-17.511,250.78,43.907,-2.3579,4.0754,1.2434,-0.58358,46.564,8.7173,6.034,4.3163,4.3375,1.1983,15.891,20.856,4.6964,10.325
1.045,1.07,1.062,-4.2274,-11.956,-12.417,197.81,31.606,-3.2672,6.726,1.53,0.10731,25.15,7.6367,3.7677,5.7053,7.0034,1.263,9.8512,6.877,4.4077,25.383
1.045,1.07,1.0534,-5.4559,-15.361,-16.59,253.65,60.38,-3.3533,6.2213,2.7103,0.6533,37.141,7.8446,4.392,3.7218,5.5916,0.9473,12.015,17.261,5.161,16.982
1.045,1.07,1.056,-4.5475,-12.581,-13.946,212.45,34.574,-4.403,9.373,0.87962,0.20873,34.767,12.155,6.8399,1.1709,4.595,1.6241,5.9737,11.139,3.1803,31.729
1.045,1.07,1.0601,-4.8897,-13.648,-14.319,228.2,49.346,-7.6078,9.1535,1.1682,1.3699,29.438,6.3593,5.335,3.641,4.7754,1.5956,15.285,8.9273,2.2392,30.043
1.045,1.07,1.0513,-5.0593,-14.095,-15.401,235.73,49.505,-5.7908,8.3601,1.2258,0.36567,41.143,7.6575,7.7394,2.9336,3.6828,1.8138,12.505,8.8235,6.7561,25.142
1.045,1.07,1.0534,-5.3199,-14.747,-16.037,247.48,58.102,-3.8133,7.9897,2.2121,1.3826,38.8,11.73,7.5588,0.7381,5.6303,1.9912,13.878,7.2736,2.2819,22.99
1.045,1.07,1.0532,-5.4699,-15.557,-16.889,254.38,58.398,-3.8981,5.4948,1.3961,-0.59616,39.361,7.9608,3.0746,4.4621,4.5735,1.7494,12.459,19.287,6.3528,14.717
1.045,1.07,1.0598,-4.3108,-12.523,-12.799,201.95,28.366,-2.5683,8.2694,1.232,1.2623,19.418,10.647,6.9859,3.0273,8.2259,1.8561,10.652,14.45,3.0877,29.442
1.045,1.07,1.055,-5.5229,-15.25,-16.326,256.8,66.306,-3.2821,8.8252,1.398,1.273,33.766,6.6337,4.7807,2.9652,3.3239,2.1687,14.899,15.72,3.5371,24.495
