V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,Q12,P13,P14,LoadMargin
1.045,1.07,1.0556,-5.251,-14.903,-15.654,244.35,59.574,-6.0887,4.3683,-0.60622,31.809,9.5422,5.5836,1.1752,9.4438,1.2636,13.512,13.76,27.556
1.045,1.07,1.0565,-5.2539,-14.426,-15.47,244.28,63.921,-5.824,5.7557,-1.145,32.262,6.82,3.6683,2.2635,3.7827,1.6344,12.261,16.576,11.184
1.045,1.07,1.0601,-4.8119,-13.647,-13.097,224.78,54.654,-4.0179,9.7564,0.45291,9.1832,8.1891,6.8937,2.6357,7.9693,2.5629,19.601,12.535,26.249
1.045,1.07,1.0513,-4.8369,-14.698,-16.057,226.42,21.24,-2.872,9.5021,-1.1029,49.774,5.9373,7.4096,3.0754,7.5735,1.5849,12.839,17.602,21.031
1.045,1.07,1.0541,-5.0911,-15.467,-15.372,237.99,42.767,-6.1149,7.6263,0.69449,22.413,8.1966,9.6864,2.8641,11.053,1.6935,19.502,21.467,30.809
1.045,1.07,1.0555,-4.479,-12.535,-14.207,209.45,26.384,-4.799,9.9769,0.8333,44.05,7.0163,5.0067,2.2408,8.085,1.2731,0.68733,11.928,26.879
1.045,1.07,1.0561,-4.3497,-13.194,-13.873,203.84,18.819,-3.7404,5.561,0.59037,32.286,8.9147,7.2822,2.6858,6.5587,1.859,14.508,16.009,21.33
1.045,1.07,1.0628,-4.1816,-12.531,-12.147,196.53,23.468,-3.7757,10.511,-0.80842,14.268,11.759,5.0866,4.4551,8.1613,2.3509,18.503,9.0455,30.131
1.045,1.07,1.0629,-4.231,-11.959,-11.88,198.12,35.549,-4.0316,8.2712,0.66776,18.986,4.1373,4.552,2.3046,9.6206,2.014,12.631,8.7157,36.676
1.045,1.07,1.0578,-5.0397,-14.106,-14.71,234.66,58.109,-5.1428,5.2099,-2.1394,23.166,9.9072,4.2711,2.7013,5.348,0.65927,12.02,19.468,16.339
1.045,1.07,1.0587,-4.395,-12.806,-12.869,205.76,33.091,-2.9732,7.6429,-0.065104,18.61,11.091,7.2869,3.9685,7.9827,1.3391,13.747,11.727,27.962
1.045,1.07,1.0562,-4.8821,-13.785,-13.892,227.63,53.763,-4.0749,6.521,1.7166,14.857,12.011,8.3475,3.5768,4.4294,1.2868,17.114,13.565,14.122
1.045,1.07,1.0496,-6.1971,-17.546,-18.652,288,75.84,-3.8692,12.054,-0.55719,37.939,10.654,6.1898,4.6754,5.4931,1.9429,17.537,17.533,12.901
1.045,1.07,1.056,-4.7377,-13.308,-13.376,220.86,52.271,-2.1042,5.4199,0.94532,17.133,6.5623,9.0163,4.1296,5.858,1.1309,14.217,14.887,19.226
1.045,1.07,1.0559,-4.8528,-13.652,-14.373,226.03,50.4,-1.949,4.4445,-0.74628,24.521,10.849,5.7985,3.8384,5.177,2.7477,10.327,17.247,16.235
1.045,1.07,1.0557,-5.6645,-15.609,-16.642,263.26,71.327,-4.1913,9.0262,0.85205,33.012,14.776,2.875,4.3783,4.2103,1.1684,17.553,4.4543,11.506
1.045,1.07,1.0571,-4.8139,-13.741,-14.77,224.81,38.946,-4.277,8.814,0.22215,33.689,9.2308,4.0608,2.8793,5.5384,1.2193,11.135,14.651,17.487
1.045,1.07,1.0584,-4.9012,-13.781,-14.358,228.5,50.842,-4.2289,6.8172,0.77441,22.217,10.96,4.2777,4.9433,7.6903,1.3184,9.322,14.84,24.486
1.045,1.07,1.0559,-5.7612,-15.766,-16.442,267.32,82.55,-4.3427,5.6541,0.24029,25.591,7.6222,3.551,4.0081,5.8678,1.6881,14.501,16.903,15.7
1.045,1.07,1.0606,-4.5474,-12.594,-13.09,212.35,43.503,-1.3735,8.5852,-0.93611,23.198,9.3801,3.2998,3.5231,8.7984,1.7049,7.3774,10.463,30.896
1.045,1.07,1.0555,-4.9234,-14.212,-15.193,229.92,39.588,-3.9495,9.0986,0.066796,39.076,8.0616,5.5168,2.3881,7.1469,1.6416,14.375,9.9839,21.948
1.045,1.07,1.0555,-5.2457,-14.191,-15.149,243.72,66.913,-2.1209,6.0752,0.55187,31.765,7.1137,4.8103,2.9438,6.2599,2.1977,10.566,9.9342,18.766
1.045,1.07,1.0602,-4.4034,-12.623,-13.37,205.74,32.866,-5.7717,3.8428,2.8423,26.537,8.7739,3.6204,3.265,4.8886,1.5327,12.095,12.657,17.208
1.045,1.07,1.0568,-4.7005,-14.143,-15.096,220.12,23.936,-2.746,9.2329,-0.26763,34.756,13.203,3.8383,3.1177,7.2425,1.426,13.155,16.412,21.982
1.045,1.07,1.0503,-5.2929,-15.558,-17.006,246.97,39.981,-2.8611,9.997,-0.82119,49.621,7.3631,7.0462,4.6216,6.9401,1.0937,13.365,13.926,18.563
1.045,1.07,1.0563,-5.2917,-13.623,-14.761,245.65,75.742,-5.6227,8.6481,1.8983,22.367,12.534,4.2223,2.1359,3.9625,2.1328,4.716,11.825,12.081
1.045,1.07,1.0586,-4.7927,-13.245,-13.801,223.82,48.01,-4.9348,11.562,-0.19917,15.977,13.34,4.6574,3.7665,5.8923,1.3526,6.291,19.496,19.17
1.045,1.07,1.0565,-5.0547,-14.81,-15.35,235.73,46.842,-4.5361,5.0085,1.66,24.681,8.992,4.8741,3.4167,5.1211,1.7952,16.803,22.097,14.768
1.045,1.07,1.0562,-4.7666,-13.535,-14.259,222.83,39.233,-3.3625,11.618,0.093559,28.02,6.0141,6.1087,3.8963,3.8983,1.9473,11.508,18.96,12.344
1.045,1.07,1.0544,-5.007,-13.474,-14.351,232.7,63.604,-4.209,4.5217,-0.48861,25.723,9.5971,7.5346,3.1947,4.6972,1.0956,8.1162,13.188,14.794
1.045,1.07,1.0553,-5.6472,-16.015,-17.21,262.64,63.432,-4.363,7.524,-0.27104,39.151,9.8013,2.1114,2.919,7.3533,1.153,14.435,14.554,19.533
1.045,1.07,1.0557,-4.8158,-13.407,-14.028,224.43,50.984,-2.3031,6.4857,-1.0359,22.397,12.362,6.9402,2.3566,6.2545,1.7096,9.5781,15.308,20.077
1.045,1.07,1.0565,-4.8692,-14.039,-14.758,226.95,46.368,-4.6093,3.2007,-0.46253,29.517,8.7781,5.4601,2.443,6.795,1.4165,13.27,16.967,21.002
1.045,1.07,1.0572,-5.1395,-13.857,-14.361,239.01,67.591,-3.3176,7.4267,1.0396,22.333,5.3788,5.4375,4.8124,7.3103,2.1336,8.9951,13.005,22.704
1.045,1.07,1.0548,-4.9338,-14.198,-15.14,230.19,42.745,-3.3919,7.2792,-0.4859,36.721,5.5781,6.1159,4.3935,4.8022,1.7199,13.931,14.949,14.572
1.045,1.07,1.0545,-4.921,-14.075,-15.048,229.77,41.45,-4.0719,9.6711,-0.40313,35.342,6.6933,6.5249,3.8915,7.1529,2.7536,9.6636,16.09,21.809
1.045,1.07,1.0596,-3.7556,-10.401,-10.362,176.33,24.891,-4.8874,8.9235,-0.70845,9.1115,8.6317,9.685,3.2576,5.6459,1.2221,5.3869,15.569,23.144
1.045,1.07,1.0546,-5.9326,-15.861,-16.879,275.07,89.317,-5.3864,7.7615,-1.5749,34.307,11.505,3.9123,3.1089,6.3217,1.4549,14.923,4.3184,16.634
1.045,1.07,1.0592,-4.2777,-12.509,-12.153,200.33,34.843,-3.1807,6.2908,-1.3655,9.1888,9.66,8.2158,3.8156,6.5512,2.2704,14.653,18.96,22.771
1.045,1.07,1.0536,-5.5831,-15.548,-16.612,259.59,66.448,-1.6606,9.0066,-1.0771,39.793,6.0957,4.6842,3.1137,6.3405,1.6915,14.97,11.579,17.269
1.045,1.07,1.0559,-5.1853,-14.214,-15.36,241.24,58.906,-2.3322,7.8014,-0.16611,34.028,10.944,3.7942,2.4462,7.2901,1.0353,8.8081,9.8827,21.907
1.045,1.07,1.0593,-4.8792,-14.215,-14.684,227.75,43.38,-4.7473,5.6907,2.3668,22.825,10.486,3.386,3.1814,6.7987,0.87196,15.332,17.548,21.088
1.045,1.07,1.0463,-5.9037,-16.538,-18.552,274.04,65.853,-2.1707,7.3635,0.77381,54.468,9.9294,7.2338,3.4902,5.9703,1.0706,11.63,9.4696,14.474
1.045,1.07,1.0543,-5.0244,-14.225,-15.016,234.4,48.158,-5.1463,9.5532,1.174,25.384,8.512,7.2029,4.1867,5.3294,1.1388,9.223,22.039,15.764
1.045,1.07,1.0562,-5.4464,-15.127,-15.461,253.72,65.851,-1.0716,13.227,0.52592,24.398,11.226,5.2842,2.7917,7.7602,1.9472,17.46,7.9098,22.267
1.045,1.07,1.0577,-5.0414,-14.679,-15.245,234.87,50.495,-3.719,2.8586,-0.88164,32.805,7.9176,4.0486,5.6234,10.408,1.6881,14.235,10.668,31.448
1.045,1.07,1.0608,-4.0315,-11.436,-11.706,188.8,27.668,-3.9745,5.6674,1.5929,18.826,10.299,6.0756,1.771,4.2085,1.2714,14.054,8.2267,16.483
1.045,1.07,1.0603,-4.3328,-12.236,-12.149,202.73,38.436,-3.0559,8.3048,1.1404,19.458,2.9005,6.7657,3.2613,6.1215,1.7145,16.264,9.1941,22.578
1.045,1.07,1.0522,-5.5667,-14.996,-15.557,258.2,82.485,-4.2318,4.8196,0.87155,22.938,9.4664,9.092,4.5308,4.0696,1.6321,15.106,10.647,11.428
1.045,1.07,1.0633,-3.9316,-10.798,-10.893,184.13,32.734,-4.3839,6.8699,-1.9879,11.118,8.7185,4.3441,3.0155,4.8036,2.3281,7.1946,15.463,19.455
1.045,1.07,1.0561,-5.686,-15.5,-16.298,264,79.694,-6.2801,6.8893,-0.99225,26.611,8.9553,3.6378,1.1164,7.2597,1.5739,11.881,18.575,19.756
1.045,1.07,1.0601,-4.5624,-13.218,-13.503,213.36,37.388,-4.2996,7.2585,-0.45306,19.031,12.328,4.2903,5.327,4.9103,1.6109,14.537,14.356,16.599
1.045,1.07,1.0579,-4.4764,-12.9,-13.114,209.31,36.552,-4.4218,6.527,2.3911,19.737,8.076,7.6151,3.0635,6.5735,1.7781,13.945,14.119,22.634
1.045,1.07,1.0518,-5.522,-16.014,-17.651,257,51.27,-4.7316,6.0668,-0.42488,51.035,8.9868,4.1761,3.5255,5.9242,1.9747,15.469,12.034,15.462
1.045,1.07,1.0574,-4.4595,-13.184,-13.875,208.53,29.025,-4.8591,3.9155,0.062023,33.676,8.4558,6.2228,4.4155,6.8306,1.2764,14.55,9.4135,23.013
1.045,1.07,1.0553,-4.845,-14.078,-14.158,226.52,44.159,-4.7265,10.196,-1.5136,19.554,8.9738,9.1552,3.8943,5.7895,1.7967,16.275,19.141,17.849
1.045,1.07,1.0518,-5.6141,-16.164,-17.095,261.06,62.323,-3.2774,5.4607,0.99615,38.783,8.1561,6.6189,3.0619,6.8018,2.4931,19.228,12.63,17.893
1.045,1.07,1.0548,-5.2954,-14.997,-15.767,246.59,58.345,-4.8669,7.4617,-0.70344,33.299,10.394,6.2162,3.9653,7.5509,0.40324,15.051,9.353,21.923
1.045,1.07,1.0478,-5.5388,-15.46,-17.133,257.46,60.17,-3.9816,7.6316,-0.80596,46.614,5.7225,8.7109,3.0204,2.3465,1.3536,11.906,17.559,6.1473
1.045,1.07,1.0571,-4.5612,-13.124,-13.443,213.16,39.193,-2.9326,6.8575,-1.6272,25.772,4.948,7.4755,2.3994,6.9561,1.0111,13.281,16.665,23.163
1.045,1.07,1.058,-4.9035,-13.937,-14.535,229.18,42.453,-0.9968,13.076,0.48088,27.668,10.831,4.026,4.0714,7.4231,2.0666,12.733,10.438,23.496
1.045,1.07,1.0534,-5.5449,-16.416,-17.108,258.23,55.485,-3.6316,5.5514,-0.063689,37.777,8.3174,5.6531,3.3445,8.6622,1.2473,20.965,14.836,22.701
