V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,P11,P12,P13,P14,LoadMargin
1.045,1.07,1.0604,-4.3316,-12.178,-12.368,202.5,38.881,-4.5208,6.4101,-0.031319,16.22,11.513,2.5159,6.0603,12.127,11.148,142.79
1.045,1.07,1.0491,-6.1218,-16.467,-17.972,283.57,87.896,-0.72488,7.7579,-0.30366,38.056,10.529,3.913,3.907,11.053,14.448,214.21
1.045,1.07,1.0512,-5.786,-16.208,-17.419,269.18,66.347,-4.0106,11.966,0.20744,35.234,9.2424,3.0871,3.9561,13.574,20.944,168.9
1.045,1.07,1.0592,-4.8081,-14.302,-14.065,224.89,41.649,-2.6904,8.297,-0.088023,21.649,4.4716,2.6142,7.2752,23.308,15.79,130.38
1.045,1.07,1.0536,-5.1599,-15.815,-16.763,241.05,33.351,-5.1398,6.0123,1.1991,45.204,11.796,4.1024,8.2164,22.776,7.0377,91.417
1.045,1.07,1.0529,-5.3668,-14.383,-15.904,249.32,66.57,-6.0697,7.5649,0.13917,37.869,7.4519,4.4815,4.7726,5.1624,13.063,192.71
1.045,1.07,1.0579,-4.97,-14.765,-14.825,232.27,43.702,-4.0618,8.0778,-0.3693,28.127,4.9451,3.6204,7.8361,22.284,13.498,132.6
1.045,1.07,1.0589,-4.8108,-13.157,-13.488,224.36,55.081,-5.7185,9.0319,0.61592,18.749,11.402,2.892,7.7363,10.864,8.4153,185.35
1.045,1.07,1.059,-4.6163,-12.291,-12.624,215.12,56.054,-2.4582,7.9767,-0.87195,16.136,6.6021,1.1615,4.7798,8.7129,15.735,195.63
1.045,1.07,1.0611,-4.0986,-12.624,-12.368,192.48,18.821,-2.8007,5.2461,-0.67557,14.043,10.115,3.0074,6.2881,18.438,20.042,64.244
1.045,1.07,1.0547,-5.1954,-14.605,-15.494,241.63,58.297,-3.2442,4.0203,1.8775,31.088,9.953,2.2274,6.7177,13.739,12.246,171.73
1.045,1.07,1.0515,-5.9908,-16.627,-17.751,278.39,75.879,-4.4323,11.684,-0.2399,41.038,7.7809,2.7547,5.1971,18.546,10.266,190.98
1.045,1.07,1.0593,-4.6286,-12.466,-12.677,215.61,56.118,-1.6418,6.1568,0.97508,17.126,5.5764,3.3497,5.2846,11.46,10.745,196.3
1.045,1.07,1.0579,-4.965,-13.523,-14.011,231.44,58.436,-5.796,10.19,-0.43531,22.751,11.25,6.0109,3.2853,14.467,5.2667,190.11
1.045,1.07,1.057,-5.1367,-14.708,-14.935,239.51,56.036,-4.084,7.9766,-1.1307,20.165,10.106,3.2293,9.0274,13.367,19.372,165.67
1.045,1.07,1.0535,-5.2348,-15.108,-16.014,243.82,51.574,-1.2293,6.2398,-1.1212,35.051,8.7211,2.8677,6.7557,14.32,17.625,144.79
1.045,1.07,1.05,-5.7697,-16.979,-18.228,268.37,58.282,-4.9744,5.0604,-0.23927,39.407,10.405,2.4119,4.5418,18.012,25.614,138.46
1.045,1.07,1.057,-4.8858,-13.731,-14.239,228.01,48.691,-2.2746,9.8272,-0.25387,25.805,8.5238,2.2851,5.8045,14.139,13.189,155.27
1.045,1.07,1.0588,-4.5989,-12.736,-13.171,214.94,44.13,-5.4366,10.636,-0.91915,17.437,11.48,2.7093,4.6555,9.5821,16.43,151.42
1.045,1.07,1.0546,-5.0012,-14.72,-15.658,233.77,36.261,-4.0097,10.477,-0.3062,39.554,5.8527,4.8137,4.3068,17.19,15.007,106.35
1.045,1.07,1.0539,-5.098,-14.66,-15.653,237.82,44.32,-0.68297,9.6682,0.3507,37.206,8.4219,1.5131,10.356,10.055,14.906,129.07
1.045,1.07,1.0582,-4.3372,-12.76,-13.394,203.08,25.435,-4.4878,6.0034,0.1914,25.219,13.574,2.9062,7.2499,10.513,14.216,87.344
1.045,1.07,1.0589,-4.8447,-13.537,-13.568,226,55.53,-4.3054,8.1729,-1.5822,14.868,7.0945,2.2929,4.5278,15.393,19.684,178.25
1.045,1.07,1.0512,-6.2326,-17.426,-18.25,289.34,84.73,-3.7557,10.181,-0.43881,32.251,11.008,4.4989,7.9455,16.457,15.724,201.72
1.045,1.07,1.0602,-4.6833,-13.157,-13.053,218.71,50.98,-5.1065,8.0984,-1.2105,10.851,12.428,5.0187,5.5567,14.536,13.282,173.22
1.045,1.07,1.057,-4.4944,-12.83,-13.746,209.87,34.796,-4.8966,4.5595,0.49526,27.609,12.104,3.0652,2.3865,12.25,14.215,117.25
1.045,1.07,1.0562,-4.9432,-14.088,-14.785,230.45,48.062,-3.3448,6.1876,1.1352,27.618,12.463,2.2973,9.5659,10.979,11.869,149.19
1.045,1.07,1.0548,-5.2539,-14.685,-15.603,244.41,60.856,-5.1267,5.5477,-0.98724,36.671,5.5905,1.9089,4.4564,16.948,11.687,178.74
1.045,1.07,1.054,-5.4709,-15.631,-16.408,254.86,58.57,-3.6408,9.9377,-0.68502,34.269,8.8452,4.9739,9.4802,13.031,13.637,161.53
1.045,1.07,1.0569,-4.9693,-14.183,-14.691,231.56,52.306,-4.7446,4.5949,-0.36881,30.295,4.1045,2.8754,6.7974,15.984,14.506,162.07
1.045,1.07,1.0506,-5.6551,-16.854,-17.929,263.54,50.123,-2.7084,8.6641,-0.4093,40.889,7.4603,4.4603,4.2447,19.816,24.105,121.37
1.045,1.07,1.0536,-5.3453,-14.461,-15.715,248.62,64.444,-4.503,10.043,-1.5336,36.211,9.2482,4.5612,4.7435,8.7183,10.123,188.25
1.045,1.07,1.0636,-3.8501,-11.087,-10.725,180.59,27.17,-4.532,4.7256,0.10453,9.7682,8.2702,2.0894,4.3739,17.397,10.728,111.16
1.045,1.07,1.0539,-5.2722,-14.241,-15.412,245.05,65.609,-3.6395,7.5312,-1.631,31.659,10.031,4.534,4.6755,7.1526,13.7,193.73
1.045,1.07,1.0543,-5.4304,-15.031,-15.934,252.73,64.245,-4.7007,9.978,-0.16088,32.987,8.4216,2.9368,4.9157,14.934,11.928,183.2
1.045,1.07,1.0578,-4.6916,-13.908,-14.186,219.66,32.92,-2.8576,10.047,-0.058436,23.298,12.068,3.015,4.2836,19.846,14.943,104.68
1.045,1.07,1.0577,-4.7952,-14.085,-14.422,224.1,39.244,-4.3262,7.2327,1.7918,25.105,10.474,3.2118,5.4997,19.771,12.082,124.39
1.045,1.07,1.0588,-4.4287,-12.533,-13.059,207.28,33.718,-4.6039,10.016,0.34753,22.649,7.5662,0.35688,8.7345,6.7745,18.944,116.22
1.045,1.07,1.0495,-5.6472,-16.96,-18.41,263.17,45.22,-3.8655,7.4938,-0.0010027,50.263,8.832,3.8783,7.54,17.355,18.622,109.26
1.045,1.07,1.0586,-4.5548,-13.493,-13.648,213.19,33.137,-2.5339,7.5597,-0.88795,21.513,10.496,1.0802,6.3443,17.973,17.19,108.07
1.045,1.07,1.0586,-4.5181,-12.235,-12.926,210.74,46.994,-5.4763,6.7943,0.21697,20.779,11.479,2.9766,6.7296,4.983,11.421,167.29
1.045,1.07,1.0501,-5.8227,-16.207,-17.721,270.28,71.636,-3.9337,6.3726,-1.0815,42.439,10.092,3.0781,3.133,14.737,15.144,181.77
1.045,1.07,1.0572,-4.5678,-12.568,-13.451,213.16,42.424,-4.2462,7.5494,0.4998,22.875,10.559,3.9512,6.1296,3.1044,17.381,143.97
1.045,1.07,1.0553,-5.1907,-15.444,-15.953,242.49,43.167,-5.2101,9.599,0.42764,29.266,10.303,2.0578,5.617,20.913,19.434,120.65
1.045,1.07,1.057,-4.9992,-14.068,-14.576,232.66,57.315,-4.1427,3.2038,0.76177,29.794,6.0106,1.6833,6.3911,17.995,8.9923,179.49
1.045,1.07,1.0584,-4.2771,-12.099,-12.81,200.35,26.999,-2.9804,10.362,0.91538,25.266,8.1385,1.8795,4.6529,8.8066,15.847,96.435
1.045,1.07,1.0557,-5.0847,-14.912,-15.376,237.45,44.176,-2.0862,9.628,0.6241,29.296,8.0312,2.7155,5.4418,19.959,16.499,128.92
1.045,1.07,1.0606,-4.48,-12.64,-12.488,209.04,48.523,-4.2209,3.36,-0.34609,8.8765,10.285,3.3125,3.6011,16.267,16.721,169.49
1.045,1.07,1.0536,-4.9531,-14.688,-15.747,231.06,37.737,-3.4667,3.9959,-0.28123,31.525,12.126,4.8306,6.6591,9.2827,24.485,104.37
1.045,1.07,1.0539,-5.4464,-15.438,-16.384,253.75,57.678,-6.054,10.332,0.77958,33.281,9.4625,4.2763,5.693,14.348,15.188,160.39
1.045,1.07,1.0571,-4.8864,-14.606,-14.875,228.62,36.291,-2.4575,9.9771,-0.61212,30.068,7.7147,3.5717,7.9924,19.812,13.681,110.37
1.045,1.07,1.0547,-5.002,-14.035,-15.176,233.1,48.557,-4.6986,7.4207,0.03896,37.649,4.3297,4.3639,5.2594,9.8905,15.045,148
1.045,1.07,1.0575,-4.5665,-13.273,-13.932,213.53,33.693,-4.8783,6.9008,-0.90746,28.953,9.355,2.6782,4.2393,14.932,14.979,111.28
1.045,1.07,1.0539,-5.0505,-13.961,-15.191,235.2,51.756,-2.4058,8.2342,-0.070471,37.182,4.0112,2.9635,4.6216,8.5658,17.121,155.58
1.045,1.07,1.0529,-5.3311,-15.523,-16.523,248.65,48.14,-3.034,9.9678,-2.0549,36.137,11.087,4.3117,4.3814,16.047,18.363,131
1.045,1.07,1.0534,-5.4519,-16.247,-16.948,254.24,50.101,-4.5785,7.6456,-1.9829,35.536,10.49,3.5356,5.7394,21.557,18.637,131.59
1.045,1.07,1.0545,-5.1561,-15.042,-15.888,240.37,46.993,-3.9907,5.9572,1.1177,34.72,8.758,4.2922,7.5093,15.03,14.65,135.2
1.045,1.07,1.0525,-5.6565,-15.666,-16.622,262.91,70.348,-2.148,9.3469,0.084131,30.879,7.2026,3.9815,2.191,15.457,19.514,186.72
1.045,1.07,1.0551,-5.1099,-14.098,-14.954,237.74,60.222,-3.7423,6.083,-2.07,25.135,10.768,4.2795,3.0168,10.33,18.813,180.66
1.045,1.07,1.0598,-4.3001,-12.452,-12.627,201.28,32.001,-3.0238,6.4954,-0.76157,17.715,9.2593,3.8044,6.7566,11.173,17.165,113
1.045,1.07,1.0568,-4.8867,-14.416,-14.854,228.52,38.662,-4.1375,9.7147,-1.7887,26.998,11.424,4.5287,7.0478,15.549,16.247,117.83
1.045,1.07,1.0612,-4.0422,-11.378,-11.76,189.55,26.182,-6.4782,8.849,0.45807,22.882,5.4948,3.3167,4.1268,11.495,10.242,103.25
1.045,1.07,1.056,-5.2478,-14.962,-15.62,244.26,58.938,-6.2839,4.4239,0.1282,36.435,8.2541,4.6201,10.739,15.901,3.1985,174.05
1.045,1.07,1.0519,-5.662,-15.684,-16.947,263.26,67.002,-3.8737,10.168,-0.070301,36.751,10.122,2.4458,5.8666,11.554,15.611,178.32
1.045,1.07,1.0528,-5.4098,-14.886,-16.066,251.16,67.97,-3.1189,3.882,-0.75173,31.246,10.98,2.257,6.895,7.4459,18.602,189.73
1.045,1.07,1.0544,-5.176,-15.218,-15.915,241.49,45.483,-3.4491,7.6957,0.82234,28.129,10.126,3.5697,4.102,17.383,22.488,125.76
1.045,1.07,1.0525,-4.9903,-15.047,-16.396,233.58,24.039,-3.8648,11.741,2.2066,45.869,4.5272,3.4316,5.5628,13.973,21.469,65.177
1.045,1.07,1.0524,-5.902,-16.679,-17.513,274.1,75.682,-4.4259,6.3601,0.30691,35.964,8.8846,3.8657,5.2471,21.403,11.278,192.21
1.045,1.07,1.0565,-4.7192,-14.328,-14.925,221.18,25.291,-5.4236,10.052,-0.68161,33.343,6.8313,1.4756,3.6247,20.861,20.76,75.059
1.045,1.07,1.0583,-4.9821,-14.474,-14.514,232.69,49.263,-4.8244,8.9002,-1.0252,21.395,9.4666,3.3738,7.2372,19.344,14.18,152.08
1.045,1.07,1.0551,-4.8862,-13.87,-14.952,227.88,43.199,-4.3758,6.8596,1.1866,34.083,7.4453,3.8456,4.3786,11.154,15.661,133.42
1.045,1.07,1.0594,-4.6583,-13.547,-13.546,217.76,41.019,-3.5281,7.2195,2.03,17.929,8.4578,3.0582,8.5991,15.882,14.439,135.81
1.045,1.07,1.0552,-5.0398,-13.899,-14.88,234.58,56.657,-4.7475,6.2617,-1.0767,29.681,7.3598,4.3774,4.6447,8.2815,17.611,173.31
1.045,1.07,1.0584,-4.5795,-13.309,-13.822,214.04,36.067,-5.9294,5.6837,0.76584,28.106,8.1122,3.0812,7.0451,14.474,12.005,121.17
1.045,1.07,1.0572,-4.799,-13.031,-13.752,223.47,55.462,-4.5196,6.0813,-0.52953,20.436,15.149,1.7808,7.1793,6.6024,11.713,183.91
1.045,1.07,1.0566,-5.1696,-14.086,-14.6,240.79,63.698,-4.5299,10.815,-0.95758,20.549,8.6103,3.9307,5.2704,10.196,17.331,194.14
1.045,1.07,1.0545,-5.4466,-15.593,-16.26,253.73,58.835,-5.0631,9.0175,0.79624,30.973,6.0531,3.9362,7.167,15.489,18.638,161.98
1.045,1.07,1.055,-5.3315,-15.442,-15.942,248.47,55.442,-2.7857,8.0586,-0.57039,28.224,11.764,3.5149,7.5053,17.847,14.484,156
1.045,1.07,1.0588,-4.7206,-13.733,-13.734,220.84,41.33,-3.5321,10.007,-1.4796,16.883,7.3584,3.3189,5.5366,15.973,22.318,129.48
1.045,1.07,1.0579,-4.6876,-13.539,-13.817,218.62,45.288,-2.2516,2.9212,-0.49598,17.672,13.297,3.6375,7.4076,12.514,17.077,146.12
1.045,1.07,1.0563,-4.4411,-12.596,-13.797,207.59,29.938,-4.5865,7.0916,-0.35319,35.316,7.888,4.3691,4.9209,6.125,14.17,101.32
1.045,1.07,1.0559,-5.3396,-15.149,-15.369,248.46,64.922,-1.4695,6.1384,0.3605,19.987,10.275,4.1091,2.7002,21.937,15.712,185.15
1.045,1.07,1.0622,-4.3749,-12.331,-11.953,204.57,44.572,-4.432,6.9531,0.14034,9.7203,6.1008,2.4718,10.284,11.645,14.729,162.47
1.045,1.07,1.0537,-4.6617,-13.949,-15.382,217.81,24.064,-3.6437,3.8095,1.2449,45.615,9.315,4.9356,6.407,11.479,11.846,72.33
1.045,1.07,1.0573,-4.997,-14.035,-14.361,232.79,56.922,-2.9748,6.3257,-0.26987,26.241,4.1176,4.6329,1.6171,21.155,11.5,178.35
1.045,1.07,1.0576,-4.4046,-12.501,-13.405,205.91,31.697,-4.004,6.8482,-0.111,36.305,4.2965,3.2001,6.9152,9.5248,9.3499,111.31
1.045,1.07,1.0563,-4.964,-13.935,-14.711,231.42,50.113,-4.986,7.6615,1.6607,27.894,9.5834,3.3541,7.5033,10.286,13.023,156.91
1.045,1.07,1.06,-4.7831,-12.636,-12.757,222.64,66.009,-5.2778,7.1901,-1.1176,19.164,4.4464,2.9908,4.7504,14.473,5.3271,228.35
1.045,1.07,1.0557,-4.7013,-13.727,-14.726,219.74,32.473,-4.6172,7.3719,-0.5214,36.362,6.5846,3.4283,6.5826,10.586,17.564,101.11
1.045,1.07,1.0569,-4.2421,-12.686,-13.78,199.03,13.91,-6.2006,7.7152,-0.84214,34.324,13.88,3.0224,6.4067,8.5354,14.661,46.435
1.045,1.07,1.0545,-5.4258,-15.867,-16.441,252.94,54.378,-4.4333,8.5241,-0.43111,31.515,10.885,3.9614,5.9428,20.908,14.558,148.8
1.045,1.07,1.0604,-4.0861,-11.07,-11.551,190.97,36.109,-3.8655,6.005,0.50538,17.88,5.2304,3.5946,7.8332,0.9987,16.059,140.15
1.045,1.07,1.0531,-4.6802,-14.217,-15.526,219.2,18.12,-2.6198,8.8364,-0.26484,37.462,12.797,3.9792,4.2401,10.638,23.899,50.177
1.045,1.07,1.0575,-4.3994,-12.473,-13.382,205.67,31.574,-4.1662,6.9192,0.17078,30.123,9.5173,3.1149,6.4794,7.4211,12.435,110.16
1.045,1.07,1.0602,-4.5029,-12.367,-12.534,210.12,49.513,-4.9731,6.2287,-0.90614,19.277,4.7399,3.4499,3.5199,14.66,11.303,177.81
1.045,1.07,1.0575,-4.4686,-12.603,-13.325,208.81,36.06,-1.6823,7.7109,-1.3052,29.224,8.4007,3.8775,3.6402,12.145,10.887,125.14
1.045,1.07,1.0591,-4.643,-13.352,-13.449,216.91,43.124,-2.809,6.9357,-0.10336,22.022,4.0417,5.8782,6.3187,15.332,14.356,144.14
1.045,1.07,1.058,-4.5584,-13.271,-13.746,213.41,32.761,-4.9292,9.6305,-1.8618,24.613,7.3283,2.336,5.4404,12.21,22.11,104.55
1.045,1.07,1.0549,-5.1801,-14.264,-15.165,241.3,58.117,-3.1577,10.585,-1.6558,30.231,9.3401,3.0709,6.3059,9.3325,14.629,174.17
1.045,1.07,1.0585,-4.5303,-12.779,-13.332,212.15,34.345,-3.8156,13.251,-0.3176,29.262,5.3842,3.8192,5.5848,12.192,10.26,119.62
1.045,1.07,1.052,-5.905,-16.249,-17.253,273.96,81.78,-3.8189,6.6885,-1.6032,34.108,8.3331,3.6026,6.6976,13.159,16.056,209.23
1.045,1.07,1.0553,-5.2301,-15.197,-15.61,243.95,52.034,-3.8271,8.6459,0.21426,18.486,14.257,3.5326,5.9986,14.677,24.118,144.16
1.045,1.07,1.0507,-5.6564,-16.441,-17.7,263.19,56.265,-2.341,7.1386,0.80468,42.927,8.4006,7.1072,7.2904,13.974,15.439,143.1
1.045,1.07,1.0631,-3.9412,-10.813,-10.73,184.58,34.881,-6,6.6997,-0.91832,11.729,6.9858,3.4674,6.1953,9.0793,10.301,144.13
1.045,1.07,1.0545,-5.1993,-15.559,-16.163,242.75,42.543,-3.282,7.8447,0.028367,33.95,6.8792,2.648,6.7904,19.732,20.55,116.56
1.045,1.07,1.0561,-4.5166,-13.705,-14.589,211.44,21.151,-4.8845,4.8341,2.3163,33.263,8.9429,2.9666,3.0638,17.315,18.896,65.171
1.045,1.07,1.0576,-4.938,-14.062,-14.47,230.02,54.119,-5.4633,3.4036,-0.59473,28.378,7.8008,3.0667,5.4743,19.388,8.7409,171.4
1.045,1.07,1.0521,-5.4363,-16.104,-17.218,253.7,44.277,-5.4905,10.269,0.54324,36.438,13.157,4.545,6.4464,14.685,20.458,115.06
1.045,1.07,1.052,-5.3919,-15.943,-17.16,251.07,49.137,-5.8962,3.4685,-0.66779,39.416,12.541,3.9842,5.119,16.675,18.725,128.99
1.045,1.07,1.0597,-4.5251,-12.543,-12.749,211.45,44.115,-2.7519,9.6562,0.53013,21.102,4.2603,2.6332,7.8447,10.838,12.07,156.1
1.045,1.07,1.0577,-4.6373,-13.595,-13.994,216.64,37.717,-4.0177,4.6933,0.06285,20.925,11.405,3.7778,6.9137,12.491,19.509,120.15
1.045,1.07,1.0504,-5.5605,-16.301,-17.637,258.78,52.753,-3.6854,5.3763,-0.34163,37.022,15.562,3.2527,6.7078,12.526,22.314,131.96
1.045,1.07,1.0544,-4.9761,-14.764,-15.743,232.43,35.899,-3.8207,7.463,-0.29262,41.341,6.3489,2.9764,8.275,14.714,15.188,104.58
1.045,1.07,1.0552,-5.1099,-14.031,-14.812,237.62,61.765,-0.86399,5.8725,-1.324,29.128,7.2447,4.4358,4.5999,11.78,13.108,188.07
1.045,1.07,1.055,-4.5956,-13.378,-14.658,214.93,27.089,-3.581,8.2001,-1.4212,41.579,10.044,2.8247,7.3017,8.6558,11.909,86.144
1.045,1.07,1.0562,-4.9178,-14.314,-14.94,229.7,41.667,-3.9417,8.4745,-0.72488,30.054,10.646,4.2634,6.119,15.661,13.343,127.92
1.045,1.07,1.0568,-5.1529,-14.827,-15.101,240.14,56.044,-3.6159,6.3024,-0.47937,26.738,6.225,4.0244,7.7253,17.863,14.361,166.47
1.045,1.07,1.0586,-4.747,-13.451,-13.639,221.64,47.733,-4.3656,7.8951,0.034018,17.286,7.1638,3.3123,4.7851,14.149,19.704,154.42
1.045,1.07,1.0575,-4.4925,-12.479,-13.311,209.72,39.317,-2.8057,6.8095,0.16996,31.849,4.9868,3.414,5.9629,8.899,10.075,137.52
1.045,1.07,1.0528,-5.4068,-15.114,-16.376,251.63,58.392,-4.3325,8.8861,0.44557,38.213,7.5825,3.5362,6.0303,10.52,15.521,162.89
1.045,1.07,1.0559,-5.0732,-14.474,-15.004,236.38,53.25,-2.1183,6.2556,0.036517,24.029,13.888,3.8763,5.5115,16.064,12.556,160.37
1.045,1.07,1.0594,-4.5909,-13.251,-13.289,214.48,42.468,-3.8681,5.6425,0.49277,14.843,9.8217,3.7664,6.2945,14.605,17.645,141.58
1.045,1.07,1.0572,-5.2213,-14.045,-14.382,243.2,67.537,-2.9052,13.219,-0.44017,20.37,6.5555,5.8393,6.9611,9.7863,11.933,207.55
1.045,1.07,1.0539,-4.9401,-14.586,-15.727,230.64,34.784,-3.7968,6.3132,2.2022,36.777,12.336,3.2109,6.3705,13.685,14.599,101.66
1.045,1.07,1.0549,-5.2996,-14.361,-15.255,246.31,67.719,-3.1966,7.3333,0.50967,29.537,9.9943,3.0389,7.6214,9.5856,9.1304,201.08
1.045,1.07,1.0549,-4.8443,-14.002,-14.99,226.29,36.952,-2.3831,9.1291,-0.092588,35.591,7.5388,5.1882,3.4528,13.746,14.911,113.36
1.045,1.07,1.0587,-4.6156,-12.58,-13.052,215.22,50.579,-4.1815,6.8643,0.10308,20.031,6.9138,4.6807,4.7031,8.9141,13.631,175.53
1.045,1.07,1.0549,-5.4496,-15.304,-15.998,253.75,62.991,-5.46,9.7591,0.89752,27.548,11.636,2.6366,6.1171,15.932,13.529,177.79
1.045,1.07,1.0523,-5.659,-16.381,-17.19,263.11,64.78,-4.0437,4.6089,-1.2145,30.599,9.1299,3.7711,8.0463,13.441,25.741,162.76
1.045,1.07,1.0542,-5.2929,-14.803,-15.769,246.12,61.703,-4.2824,4.921,-0.55171,31.958,11.523,3.327,3.4635,15.77,12.067,178.53
1.045,1.07,1.051,-5.7206,-16.68,-17.942,266.31,57.023,-5.7052,7.9987,-0.60225,45.886,6.8733,3.6579,6.2081,17.934,17.072,143.2
1.045,1.07,1.0566,-5.0127,-14.442,-14.788,233.99,47.625,-2.1349,9.4477,1.5008,21.489,8.5481,3.9588,7.6776,13.19,19.787,142.61
1.045,1.07,1.0506,-5.4891,-15.527,-17.068,255.41,55.64,-1.9492,8.6731,-1.2909,41.93,12.686,3.9646,3.1943,12.643,14.993,147.92
1.045,1.07,1.0582,-4.8129,-13.451,-13.898,224.25,53.373,-5.8549,4.4375,0.27292,24.632,8.1476,3.2592,5.5538,15.055,9.8674,176.12
1.045,1.07,1.0542,-5.1889,-14.847,-15.943,241.86,49.212,-5.1388,7.8117,-0.061667,42.432,5.8373,4.5262,6.1665,15.237,9.3391,143.59
1.045,1.07,1.056,-4.9389,-14.623,-15.167,231.01,37.25,-4.715,10.492,-1.0929,26.849,9.0981,3.8647,7.3288,12.855,23.785,107.28
1.045,1.07,1.0559,-5.0903,-14.604,-15.266,237.64,47.467,-4.3002,10.734,-0.52302,33.603,5.8382,4.8969,6.7618,15.031,12.897,142.68
1.045,1.07,1.0528,-5.8116,-16.75,-17.308,270.24,69.14,-3.6051,7.0622,1.889,24.223,9.9096,3.5166,10.172,13.26,26.041,170.75
1.045,1.07,1.0537,-5.1826,-15.244,-16.244,241.82,43.02,-4.0029,7.8858,-0.61055,39.664,9.1808,3.5031,6.9409,16.053,14.703,121.14
1.045,1.07,1.0553,-5.2236,-14.596,-15.446,243.26,57.926,-5.4484,8.1048,0.60657,31.452,9.4822,3.5935,4.7275,15.149,10.684,172.27
1.045,1.07,1.0577,-4.3908,-13.193,-13.78,205.69,22.272,-3.3831,6.0536,0.95666,30.74,4.8985,3.2583,7.6976,12.42,19.272,72.307
1.045,1.07,1.0543,-4.9181,-13.711,-15.019,229.34,44.655,-3.6982,9.1651,-0.64967,35.446,13.515,3.2827,4.9108,8.3218,10.592,138.58
1.045,1.07,1.053,-4.9827,-14.318,-15.685,232.13,42.419,-2.3979,4.4613,0.68734,41.159,7.1603,3.7968,5.3272,10.485,16.079,124.06
1.045,1.07,1.0535,-5.6003,-15.171,-16.061,259.83,79.462,-3.9451,5.2926,-1.9376,28.409,6.2213,4.6567,3.0882,12.128,18.923,217.91
1.045,1.07,1.0582,-4.3349,-12.712,-13.202,203.08,24.829,-2.2165,8.0957,1.8621,21.504,8.0249,3.884,8.5265,6.6391,21.802,82.032
