V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0531,-5.2696,-15.007,-15.834,245.67,53.25,-4.3125,10.172,-0.69629,38.06,6.7852,5.6777,4.3927,8.6689,2.2722,13.834,9.4469,7.5682,27.255
1.045,1.07,1.0566,-5.2929,-15.23,-15.767,247.2,50.588,-3.8689,14.092,-0.98051,29.182,5.6592,4.7186,2.6744,8.565,1.6585,13.438,21.865,4.481,61.651
1.045,1.07,1.0534,-5.5052,-15.685,-15.72,256.11,70.407,-4.664,6.3268,-0.11734,18.572,12.239,9.6154,5.0333,8.979,2.4609,17.634,13.934,4.4002,38.543
1.045,1.07,1.0543,-5.9923,-17.325,-17.523,278.76,74.825,-2.6506,10.019,-1.3145,29.638,7.8046,4.499,3.0079,7.7329,2.1786,25.722,15.547,5.6234,38.327
1.045,1.07,1.0624,-4.5504,-12.943,-12.701,212.73,45.098,-4.3388,7.8663,1.2918,11.554,6.2594,4.1958,3.3493,3.8983,1.6156,19.22,15.493,4.8931,53.799
1.045,1.07,1.0564,-4.3838,-13.019,-13.756,205.44,22.181,-4.3171,8.0276,-0.8607,32.859,7.0676,5.9791,3.929,6.6037,1.8557,11.212,16.425,6.3399,54.084
1.045,1.07,1.0576,-4.6221,-13.542,-14.127,215.89,35.361,-2.9316,4.3793,1.5141,24.058,13.474,5.0864,5.2782,7.6297,1.8671,11.414,13.844,5.2415,44.928
1.045,1.07,1.06,-4.797,-13.536,-14.309,223.97,43.199,-4.7989,8.7648,1.6051,30.883,9.9934,4.7701,3.1202,6.6851,0.76241,13.847,6.3987,2.1418,21.116
1.045,1.07,1.0581,-4.7912,-13.391,-13.555,223.5,52.758,-4.295,7.5555,-0.30493,14.702,8.4542,5.1831,2.2462,4.0175,1.0296,14.116,20.155,6.5719,64.606
1.045,1.07,1.054,-4.9472,-13.985,-15.118,230.44,47.255,-4.1412,4.8526,0.93558,32.968,12.844,6.5881,3.4107,4.522,1.624,11.749,11.603,4.8446,35.528
1.045,1.07,1.0598,-4.3626,-12.23,-11.981,204.01,43.011,-3.8719,7.8827,0.63524,10.488,9.1347,6.9517,4.1496,5.9475,1.3549,14.464,10.486,6.3083,38.404
1.045,1.07,1.0541,-4.5252,-13.104,-14.235,211.38,30.09,-2.6989,5.0332,-0.176,34.164,10.751,7.5397,2.5624,5.9102,2.5133,8.1397,16.335,4.669,52.171
1.045,1.07,1.0496,-5.3305,-16.272,-17.859,248.8,32.353,-4.0579,6.685,-0.085973,50.952,10.331,4.7598,2.098,8.6467,1.1415,14.105,21.234,6.6915,52.031
1.045,1.07,1.0573,-5.0401,-15.105,-16.006,235.37,37.233,-4.6308,5.9835,-0.64299,38.992,11.224,5.3762,3.5474,7.1834,2.4519,18.904,12.165,1.4426,35.386
1.045,1.07,1.0578,-4.6803,-13.72,-14.694,218.83,31.043,-5.5067,7.0789,0.96862,44.836,1.9632,3.2855,3.3485,6.3509,1.8447,17.319,6.861,6.1864,22.172
1.045,1.07,1.0578,-5.1199,-13.865,-14.458,238.12,66.186,-4.069,6.7354,-0.063843,18.738,9.1074,6.0748,4.8735,3.0545,2.3378,10.714,17.636,2.5239,54.491
1.045,1.07,1.0528,-5.3413,-15.289,-16.241,248.87,54.08,-6.0787,8.3682,0.46182,35.909,9.2151,6.738,4.251,4.9039,1.9432,16.574,12.919,5.5964,36.357
1.045,1.07,1.0531,-5.5008,-15.804,-16.607,255.96,60.927,-3.5095,6.3253,-0.85313,34.462,7.0137,5.0467,2.7809,7.1571,0.90766,16.103,18.886,6.3987,50.564
1.045,1.07,1.0581,-5.2997,-15.549,-15.894,247.15,52.678,-3.6681,7.5823,0.958,22.101,12.876,4.6161,5.3388,7.5572,2.0902,17.637,18.28,2.8164,51.511
1.045,1.07,1.0573,-4.4727,-14.05,-14.133,209.88,19.752,-4.7118,6.2318,-1.6446,28.778,9.9887,5.2534,3.3523,7.6628,1.8446,22.508,14.7,7.8602,45.883
1.045,1.07,1.0581,-4.4998,-12.366,-12.951,210.42,40.259,-4.1536,11.81,-1.0549,23.312,9.7803,7.528,2.636,5.2385,1.4862,8.721,11.47,3.5889,40.711
1.045,1.07,1.0565,-5.5208,-15.367,-16.587,256.67,64.085,-3.5824,7.395,1.2087,42.419,6.7471,2.7418,3.1878,6.8839,0.79224,15.502,6.321,3.7051,17.639
1.045,1.07,1.0484,-5.3508,-15.35,-16.671,249.07,52.519,-3.699,6.5212,-1.7518,43.742,10.061,8.115,3.565,4.2364,0.55472,15.136,12.752,7.3568,34.469
1.045,1.07,1.0478,-5.7198,-16.852,-17.909,266.09,58.031,-3.5626,5.4994,-0.23814,39.575,9.3248,8.6416,2.2767,5.841,1.2623,18.878,22.396,5.6326,54.076
1.045,1.07,1.0529,-5.1313,-14.614,-15.783,239.3,45.488,-2.2873,10.036,1.0839,38.828,11.037,8.7918,2.3995,9.2699,1.6795,9.9566,10.124,2.23,29.589
1.045,1.07,1.0572,-4.6464,-12.531,-12.853,216.61,54.054,-2.8245,8.1794,-0.35928,20.284,8.9165,7.4442,4.0396,7.6468,1.7759,8.68,6.333,5.5304,22.07
1.045,1.07,1.0576,-4.3063,-11.697,-12.271,200.66,45.482,-4.1595,1.9183,-0.52033,15.539,11.506,6.3144,4.4764,3.2686,1.7546,5.5015,15.831,6.4088,57.432
1.045,1.07,1.0558,-5.0995,-15.385,-16.007,238.25,37.897,-2.352,7.7846,-0.52058,36.409,6.9152,5.8817,3.6863,9.6026,2.1936,17.383,17.896,3.2186,50.414
1.045,1.07,1.0508,-5.5264,-15.307,-16.318,256.97,67.16,-4.4583,8.8037,-1.11,34.009,8.1258,8.7647,5.8949,3.9671,1.708,12.693,14.332,4.6923,39.415
1.045,1.07,1.0568,-5.131,-14.123,-14.271,238.58,68.423,-4.2822,4.5601,1.303,12.793,9.5411,7.0456,4.8487,4.8713,1.8027,13.811,17.174,4.6641,52.488
1.045,1.07,1.0504,-5.4822,-14.995,-16.378,254.86,64.801,-3.5669,9.4238,-0.79914,38.476,9.8205,5.9877,1.6295,7.2632,1.0874,7.2144,14.153,7.4432,39.023
1.045,1.07,1.0594,-4.5605,-12.982,-12.931,212.66,48.656,-2.1758,2.4277,-0.63171,19.751,5.7484,8.2542,5.1905,7.6983,2.0685,15.618,9.6004,2.5472,33.242
1.045,1.07,1.0553,-5.6164,-16.146,-16.902,261.75,59.254,-4.5723,11.812,-0.10293,32.189,16.038,4.0755,1.9773,9.1585,0.926,17.768,10.13,4.9162,27.199
1.045,1.07,1.0591,-4.8564,-13.886,-14.554,226.59,45.211,-3.8563,6.5274,0.2131,25.418,10.546,3.8951,3.4412,5.72,2.0132,12.926,16.628,3.5991,52.56
1.045,1.07,1.0584,-5.0162,-15.229,-15.652,234.58,35.868,-2.7152,8.3234,-1.2176,28.922,12.323,1.1249,4.6116,6.3246,2.184,20.942,17.606,6.9003,50.438
1.045,1.07,1.0469,-6.4914,-18.978,-20.728,301.03,75.207,-3.6591,3.9006,-0.97541,50.124,11.663,4.7397,2.8463,6.7571,1.7656,17.746,24.795,3.531,51.355
1.045,1.07,1.0579,-4.2613,-12.076,-12.302,199.47,33.693,-4.5883,7.8957,-0.53158,14.531,11.884,7.3663,3.8204,5.0826,1.845,9.414,16.184,6.2324,58.082
1.045,1.07,1.0541,-5.3322,-16.114,-16.712,249.01,41.553,-1.2297,9.3397,0.86252,38.33,5.4869,5.5825,4.3972,6.6465,1.8676,23.207,16.839,4.4992,44.927
1.045,1.07,1.0484,-5.6986,-15.904,-17.541,264.37,69.327,-4.7414,3.0665,-1.2761,44.01,9.6539,6.6743,3.8066,4.9403,1.5188,10.467,16.243,6.3101,41.592
1.045,1.07,1.0532,-5.3222,-14.992,-15.733,247.93,58.407,-5.6537,9.4412,1.119,41.092,3.8488,7.6386,3.544,9.8673,1.9382,16.629,2.0379,5.9232,5.9286
1.045,1.07,1.0539,-4.8433,-14.101,-14.966,226.25,36.756,-2.9218,8.4017,0.86178,29.492,9.5392,5.8217,3.5709,8.1024,1.0291,8.0217,21.442,6.8589,63.081
1.045,1.07,1.0597,-4.5275,-13.044,-13.23,211.41,42.176,-5.6384,3.4005,-0.49669,20.063,9.6167,5.0728,3.4375,9.4954,2.1422,11.747,13.425,5.8039,46.159
1.045,1.07,1.0531,-5.4143,-16.217,-16.793,252.68,47.695,-4.5252,8.7707,-1.1847,35.295,8.8912,8.085,2.8854,9.2455,0.9785,19.377,18.922,3.3604,50.052
1.045,1.07,1.0537,-5.4568,-15.506,-16.622,253.93,57.286,-2.3088,7.6841,2.1863,39.658,7.5069,4.9519,3.6896,8.1512,2.0196,13.872,11.204,4.68,30.838
1.045,1.07,1.0521,-5.4699,-15.433,-16.454,254.69,59.709,-5.1038,9.8703,-0.81995,34.444,11.336,6.7331,4.4289,11.361,2.4379,6.7782,14.753,5.6265,40.61
1.045,1.07,1.0538,-5.4304,-15.461,-16.995,252.64,54.342,-3.825,6.0912,0.021431,40.804,10.28,3.8242,4.4628,4.0874,1.8555,11.495,18.315,3.558,49.431
1.045,1.07,1.0565,-5.2878,-14.28,-15.339,245.41,70.877,-5.5457,2.7573,0.43159,30.74,8.823,5.5585,2.861,6.4053,1.8569,9.4155,11.261,2.6818,33.639
1.045,1.07,1.0573,-4.935,-14.543,-14.964,230.55,41.17,-3.4549,7.8972,0.40217,32.501,6.5997,7.3065,2.7474,7.2876,2.0322,20.386,11.287,2.3302,34.615
1.045,1.07,1.0486,-5.4503,-15.954,-17.2,253.89,49.43,-4.1716,7.2434,-0.040026,41.313,7.8627,7.9474,4.9842,6.1124,1.8334,12.952,21.047,6.359,53.825
1.045,1.07,1.0519,-5.6825,-16.246,-16.965,264.2,68.544,-5.1003,6.0717,-1.5318,27.017,14.016,5.8446,4.1854,7.7648,1.813,13.822,20.158,6.6671,52.073
1.045,1.07,1.0518,-5.4879,-15.693,-16.78,255.26,58.874,-1.5623,6.281,-0.44763,36.459,9.1783,6.3065,2.2449,5.8903,0.85041,14.508,19.198,4.7469,50.997
1.045,1.07,1.0507,-5.4087,-15.077,-16.001,251.37,65.427,-4.092,5.4235,0.47837,34.111,8.4451,8.5337,2.1229,7.1985,1.3595,13.213,12.432,6.1652,34.881
1.045,1.07,1.0596,-4.763,-13.302,-13.806,222.3,47.61,-3.3102,8.7804,-0.13848,22.21,10.788,3.8658,4.6626,7.8311,1.0765,9.1765,11.974,4.9672,39.832
1.045,1.07,1.0546,-5.1814,-14.468,-15.68,241.42,51.978,-1.7905,10.242,-1.5595,37.851,11.39,3.9586,5.2126,7.5214,2.2692,8.2827,9.2207,5.6418,27.226
1.045,1.07,1.0559,-5.4431,-14.994,-15.849,252.82,70.479,-2.8701,5.1833,-0.45258,27.649,11.362,4.2338,3.1088,4.6147,1.5096,14.211,13.99,4.3588,39.738
1.045,1.07,1.0572,-4.7811,-13.31,-14.313,222.96,45.36,-4.1924,7.3222,0.026786,28.38,11.904,4.9595,4.5411,5.0546,1.6316,7.8856,12.975,4.3752,42.228
1.045,1.07,1.0556,-4.4896,-13.229,-13.985,210.23,25.558,-3.3777,8.551,0.45362,30.902,10.143,7.2996,6.1397,5.1598,1.3258,12.149,12.84,5.1351,42.195
1.045,1.07,1.0577,-5.19,-14.357,-15.005,241.45,63.622,-5.3402,5.8284,-0.17816,23.975,11.303,4.2451,2.7528,5.0679,1.5926,14.147,13.509,4.7145,40.909
1.045,1.07,1.0547,-5.3163,-15.163,-14.999,247.85,63.762,-3.2697,10.461,-2.148,16.32,6.9601,9.1595,3.0662,6.4133,1.625,18.836,21.818,4.4489,61.556
1.045,1.07,1.0545,-4.8946,-14.319,-15.564,228.7,32.857,-3.1044,9.1707,0.32925,37.643,11.686,4.9911,1.9325,3.988,1.2423,13.64,17.269,4.8502,50.789
1.045,1.07,1.0538,-5.0033,-14.037,-15.247,233.46,44.927,-4.6507,11,-0.3814,34.519,5.771,5.2926,5.3794,6.5472,1.3774,3.8521,21.15,6.2799,62.48
1.045,1.07,1.0578,-4.6899,-13.523,-13.614,219.16,43.998,-5.7571,7.3635,-0.87131,21.188,5.2654,7.5149,3.5845,5.0183,1.6834,17.255,17.05,4.897,55.753
1.045,1.07,1.0546,-5.111,-13.949,-14.728,237.9,61.031,-3.9125,8.5069,-0.98375,25.214,11.392,8.2938,1.9615,4.8893,1.4889,10.696,14.17,3.4173,43.424
1.045,1.07,1.0589,-4.3448,-12.322,-12.891,203.51,30.441,-6.4044,10.071,0.66242,26.954,11.362,5.9784,3.9708,4.9579,1.6773,13.42,4.0603,5.5103,14.805
1.045,1.07,1.0605,-4.1657,-12.318,-12.286,195.35,25.861,-4.398,6.5945,-0.42862,20.748,4.2618,5.3628,5.5268,5.1874,2.226,16.454,13.996,6.4932,50.968
1.045,1.07,1.058,-4.9923,-14.029,-14.999,232.42,51.697,-2.1976,4.7097,0.22349,29.381,7.5158,3.1254,2.7951,6.1107,2.0454,9.1705,20.178,3.7568,61.283
1.045,1.07,1.0612,-4.5405,-12.317,-13.207,211.93,44.16,-4.9934,8.5454,-0.79833,25.383,9.942,1.8087,4.5915,2.9513,0.81812,7.8777,10.856,5.3019,38.613
1.045,1.07,1.056,-4.5148,-13.381,-14.189,211.18,27.47,-3.1374,5.637,-0.93941,32.224,13.828,7.5779,2.5838,3.9783,1.6324,16.713,11.223,3.414,36.482
1.045,1.07,1.057,-4.8649,-13.89,-14.38,226.94,47.882,-3.4107,6.5761,-1.125,25.982,5.2626,7.0603,3.4658,5.8648,2.009,13.061,19.886,3.2169,61.899
1.045,1.07,1.0548,-5.3262,-15.527,-16.507,247.85,53.208,-3.7711,2.8144,1.0708,37.905,6.5167,5.2023,2.1923,8.5709,1.3436,15.212,18.094,3.6603,49.765
1.045,1.07,1.0508,-5.2755,-15.163,-16.563,246.13,44.846,-5.919,11.221,-0.74486,41.418,14.559,6.7045,4.1202,5.1768,0.47644,12.459,11.231,6.3488,31.178
1.045,1.07,1.0557,-5.5568,-15.912,-16.763,258.49,63.067,-3.7866,6.1393,-0.97433,33.874,8.7858,4.3923,3.3738,8.0068,1.7715,15.196,17.663,3.2466,47.546
1.045,1.07,1.0583,-4.3078,-12.227,-12.789,201.61,30.282,-2.7854,8.3583,1.2546,19.789,12.811,5.5772,2.166,5.8762,2.0575,8.5194,14.926,5.8254,52.99
1.045,1.07,1.0556,-4.8512,-14.325,-14.653,226.61,41.475,-5.1105,6.1018,-0.69511,17.097,20.116,6.4529,4.1022,4.1953,2.325,17.677,16.429,6.2151,49.666
1.045,1.07,1.0512,-5.8898,-15.737,-16.772,273.22,85.239,-3.8091,9.7907,1.0236,33.706,4.43,8.1904,2.7398,5.799,1.3321,11.758,13.792,3.8779,36.102
1.045,1.07,1.0575,-4.6738,-13.486,-13.578,218.78,38.851,-3.027,11.994,-0.32124,18.883,8.9806,5.6534,3.104,8.699,2.6893,12.325,17.042,7.1892,55.345
1.045,1.07,1.0544,-5.2324,-14.366,-14.582,243.31,69.717,-3.0359,6.5046,0.67458,18.589,8.2524,7.01,3.1683,5.835,1.7685,15.17,13.712,7.3231,40.959
1.045,1.07,1.0552,-5.6929,-15.836,-16.739,264.22,74.731,-3.279,4.2702,1.7609,28.554,8.7559,4.3057,6.5288,5.7722,2.1606,12.917,16.91,3.4594,45.119
1.045,1.07,1.0619,-4.3441,-11.878,-12.073,202.82,44.549,-0.27227,6.8016,-1.1433,16.054,9.6556,4.6559,1.2999,10.547,1.8296,5.7441,11.633,3.6867,43.162
1.045,1.07,1.0605,-4.448,-12.045,-11.839,207.59,52.791,-3.1115,7.5796,-0.29647,9.3375,8.7861,7.2753,3.9853,6.4397,1.3959,11.724,9.1687,4.4027,33.693
1.045,1.07,1.0562,-5.3197,-14.384,-15.553,247.3,66.176,-3.4796,8.2682,-1.7458,30.932,8.821,3.8975,2.7727,2.9964,1.7462,9.5688,17.43,3.697,50.965
1.045,1.07,1.0602,-4.8136,-13.602,-13.992,224.28,51.759,-2.7272,3.7785,0.27421,14.281,12.345,4.365,2.6823,6.3107,1.6842,10.263,22.639,2.5054,71.615
1.045,1.07,1.0611,-4.6593,-12.435,-12.398,217.12,61.025,-3.4579,7.7993,-1.7314,14.288,5.6145,3.8037,3.7999,7.8156,1.6088,9.7807,9.7895,6.6881,34.521
1.045,1.07,1.0552,-5.0379,-14.492,-15.178,234.97,48.484,-4.3096,7.3326,-1.3825,34.589,11.251,6.3496,3.5234,7.0915,0.93979,17.418,6.0178,5.4078,18.297
1.045,1.07,1.0581,-5.1366,-14.143,-14.759,238.68,65.831,-2.9533,2.9273,-0.05304,19.686,11.294,4.6735,3.2032,2.8197,2.3024,14.086,17.6,3.0479,53.385
1.045,1.07,1.0578,-4.1948,-12.267,-13.486,196.69,14.644,-3.7143,8.3435,1.3839,37.131,6.899,5.0615,3.2232,6.6645,1.7845,5.5506,15.664,4.2513,53.95
1.045,1.07,1.0493,-5.7072,-16.521,-17.744,265.24,61.592,-2.13,4.7357,-0.30581,41.003,11.366,7.0707,3.4269,4.9716,1.2679,18.188,16.061,5.1076,40.269
1.045,1.07,1.0544,-5.1122,-14.459,-15.716,237.87,51.255,-3.2799,3.9526,1.1396,36.546,10.056,5.4319,4.9044,5.6593,1.424,10.381,12.917,4.2068,38.079
