V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,Q13,P14,Q14,LoadMargin
1.045,1.07,1.0363,-4.9787,-17.84,-19.254,258.58,68.674,-3.2197,8.132,1.6693,-0.33477,0.41472,23.545,18.138,7.0404,9.0262,4.427,1.8387,8.3911,1.6165,17.641,4.3564,14.121,4.9147,16.163
1.045,1.07,1.0321,-4.4129,-15.872,-16.527,229.5,55,-4.6339,8.0538,1.7444,-0.74144,-1.3538,7.7689,27.808,11.052,6.0146,2.9268,1.3222,6.7894,2.0061,16.547,6.6477,18.64,5.7789,21.092
1.045,1.07,1.0314,-4.5747,-16.688,-17.377,237.94,53.722,-1.3455,10.101,1.1811,-0.0039107,-0.40949,12.583,24.304,8.4707,7.6075,3.1049,1.4109,7.0974,1.0827,22.168,7.2213,15.855,6.1245,25.953
1.045,1.07,1.0488,-4.2013,-15.237,-17.036,218.78,34.608,-3.7166,7.869,2.2784,-0.37887,-1.3917,26.991,11.747,12.014,8.946,3.6184,2.1811,9.5386,1.0747,6.0404,4.2793,17.155,5.0863,21.602
1.045,1.07,1.045,-4.6665,-16.295,-18.343,242.45,61.838,-4.793,6.0778,1.0317,-1.048,-1.0888,30.134,13.67,11.959,5.8283,2.1334,1.8923,7.6582,1.9133,7.644,5.4458,11.862,6.768,20.353
1.045,1.07,1.0466,-4.6331,-16.523,-18.221,240.88,55.853,-3.8765,7.0851,1.6744,1.415,0.60468,27.404,14.513,6.4864,4.2164,4.3723,1.6448,6.9053,1.9495,15.703,3.6219,11.42,5.9105,15.461
1.045,1.07,1.0496,-4.4043,-16.286,-18.231,229.41,34.027,-3.6244,8.599,1.9688,0.0046422,1.2022,36.16,12.49,5.3585,3.2097,3.7632,1.9608,9.5161,1.8365,14.746,6.9838,14.278,3.2942,4.9607
1.045,1.07,1.0372,-4.8329,-17.571,-19.363,250.94,60.325,-3.9693,3.4006,1.6277,0.026665,1.1047,27.906,18.213,8.7033,6.6244,5.5738,2.6747,8.5218,1.4542,13.573,5.023,17.017,4.5684,23.332
1.045,1.07,1.0421,-4.0313,-14.409,-15.888,209.95,33.422,-4.1042,9.6746,2.1127,-0.40106,-0.35113,26.051,20.11,8.61,5.4653,2.3932,2.5097,5.2478,2.4006,12.213,6.1353,12.307,5.2005,24.402
1.045,1.07,1.032,-5.0531,-18.629,-20.209,262.81,57.504,-4.9457,11.543,1.1073,-0.25156,-0.50179,25.582,21.178,10.524,7.9189,3.7163,1.9008,7.8361,0.60334,21.515,4.577,16.848,5.392,14.337
1.045,1.07,1.0321,-5.2836,-17.981,-20.684,273.59,87.381,-4.3693,4.2412,1.7365,0.39333,-0.90716,38.026,21.806,11.324,4.8835,4.376,3.4813,5.462,1.7256,2.4683,4.6264,11.425,4.9333,11.898
1.045,1.07,1.0502,-4.3358,-15.509,-17.655,225.52,43.786,-4.5084,4.3597,1.3531,-0.9647,-1.2106,37.68,13.409,7.045,4.0534,3.9337,1.3824,4.8472,1.2924,14.129,3.4692,8.5274,5.7024,17.852
1.045,1.07,1.0428,-5.3133,-18.707,-21.835,275.75,68.857,-4.022,9.0771,2.0282,0.67508,-1.944,48.764,9.545,7.5992,6.7825,2.8515,1.9375,5.1861,1.7705,11.916,2.9586,11.855,6.3964,12.298
1.045,1.07,1.0601,-3.9707,-13.77,-14.442,206.75,49.744,-3.289,6.8784,1.1338,-0.91291,0.17487,10.564,12.12,2.9184,4.3222,3.6128,1.721,7.8314,1.1399,13.486,4.8779,12.584,2.1679,11.758
1.045,1.07,1.0393,-4.4667,-16.57,-18.86,232.36,34.74,-3.6882,5.3054,1.1021,1.7982,0.4416,32.271,18.235,11.808,5.8216,3.2158,1.2867,4.6673,1.8999,14.505,2.7075,20.386,4.8525,13.605
1.045,1.07,1.043,-3.8237,-13.9,-14.963,199.44,23.747,-5.1861,10.933,1.4946,1.7171,1.9436,18.747,17.857,8.519,6.9773,3.1369,2.3838,4.8358,1.9094,15.438,5.5667,12.858,6.9367,11.792
1.045,1.07,1.0427,-4.723,-16.523,-18.291,245.67,59.295,-4.0529,12.278,0.40221,0.28735,1.478,27.496,14.988,7.5488,6.7503,2.0985,1.8308,4.1769,2.0109,16.368,5.0478,11.318,5.0604,23.311
1.045,1.07,1.041,-4.071,-14.572,-15.301,211.92,42.88,-3.7864,8.0036,1.6602,0.6209,0.25619,16.411,23.063,5.496,5.9647,3.8437,1.8934,5.2248,1.1636,20.292,3.6505,8.2151,5.6668,20.283
1.045,1.07,1.0416,-4.7355,-17.273,-19.545,246.18,49.132,-4.5373,6.4703,1.8944,-1.8121,1.4565,41.031,17.231,8.3854,3.0253,2.3869,2.6602,6.9147,0.85969,17.822,6.5626,10.683,2.9957,18.677
1.045,1.07,1.0329,-4.3285,-16.277,-18.82,225.34,22.712,-5.3935,7.2443,1.9251,-0.27587,1.4866,45.048,23.394,11.614,5.4264,2.5434,1.9664,5.8165,1.8045,13.573,4.4977,14.556,3.7123,28.375
1.045,1.07,1.0394,-4.564,-16.686,-18.311,237.49,45.164,-3.3093,9.0399,1.5399,0.48985,-1.1748,28.042,18.139,9.0467,6.1659,2.5347,2.3342,7.1507,2.3878,18.849,4.9954,12.967,6.1513,22.694
1.045,1.07,1.0364,-4.5266,-16.52,-18.206,235.56,41.391,-3.0803,10.969,2.0062,1.5381,1.1309,26.451,19.79,9.1244,8.3166,3.7784,1.5442,6.0721,1.6792,15.02,7.9938,17.343,2.0977,23.253
1.045,1.07,1.0425,-4.3831,-16.079,-17.427,228.1,41.95,-2.0616,7.3862,1.2471,0.95258,-0.043675,23.637,20.111,7.7109,4.4217,4.7338,1.7899,6.5733,0.47824,19.14,5.8151,13.034,3.5774,20.828
1.045,1.07,1.0382,-4.0001,-14.891,-16.563,208.33,23.523,-4.1194,6.4645,2.0583,-1.3719,0.46887,37.049,26.323,6.957,6.1943,2.3486,0.66358,6.621,0.88553,18.487,2.6316,7.8259,1.8854,20.932
1.045,1.07,1.0484,-4.0933,-14.999,-17.463,213.47,17.879,-2.7774,12.264,1.8914,-2.2773,-1.6324,43.779,14.355,6.1607,4.979,3.0209,2.0872,3.0735,1.7992,12.392,3.9565,16.298,3.5713,16.903
1.045,1.07,1.0577,-4.089,-14.591,-15.914,213,40.58,-4.4701,6.8686,1.949,-0.27066,-1.4731,22.689,8.3693,8.0817,4.7771,4.1976,2.5022,6.3319,0.81644,15.939,6.1647,7.8025,5.8681,30.333
1.045,1.07,1.0445,-4.1402,-15.332,-17.134,215.68,28.068,-4.4802,6.9027,1.4864,-0.90246,0.55162,27.946,14.771,13.077,6.0187,1.8223,2.9672,7.3439,0.6233,12.508,6.7915,17.465,5.2612,18.478
1.045,1.07,1.0369,-4.4934,-16.409,-18.309,233.47,45.76,-1.4322,4.6613,1.8551,-2.9424,0.1908,35.992,18.744,8.0424,6.1518,4.1596,1.9956,8.2317,1.8847,12.379,5.9076,13.735,6.2226,12.781
1.045,1.07,1.0396,-4.911,-17.458,-18.611,255.26,69.774,-4.8255,9.6649,1.1507,0.012137,0.91505,16.621,19.922,6.2455,2.6697,3.1248,2.3719,6.5029,1.0633,20.347,7.1634,16.151,5.2749,24.121
1.045,1.07,1.0392,-5.1004,-18.134,-20.847,264.93,59.194,-2.3816,11.911,2.4124,0.20961,-0.2511,37.612,13.309,14.293,7.133,2.9935,2.215,4.3133,0.39841,11.587,2.9563,15.401,6.0025,18.719
1.045,1.07,1.0436,-3.9166,-14.479,-16.148,204.21,19.815,-4.0001,8.7926,0.94044,-0.016826,0.80927,26.427,19.761,13.578,7.9846,2.7476,1.475,10.473,1.9409,4.3597,6.2102,18.32,1.0059,16.201
1.045,1.07,1.0385,-3.8332,-14.332,-15.483,199.81,19.955,-3.678,7.7179,1.5678,-0.3286,0.62498,27.131,23.031,9.3347,4.568,2.8855,1.3722,9.7914,0.96814,13.823,6.7126,9.9551,7.7332,24.019
1.045,1.07,1.037,-4.5871,-17.302,-18.796,238.85,39.191,-4.7628,8.0898,1.565,0.04024,-1.9816,24.8,16.699,10.846,6.6217,3.9874,1.8959,6.9476,1.8042,21.779,10.374,17.903,6.5683,15.858
1.045,1.07,1.0386,-4.6294,-16.503,-18.191,240.94,50.853,-5.2848,12.541,1.5965,0.60686,-0.61645,27.08,22.137,6.5683,4.336,5.0562,1.4008,4.9197,1.4278,13.082,9.872,15.928,2.1841,23.208
1.045,1.07,1.0477,-4.2726,-15.176,-17.348,222.16,40.777,-2.9654,5.6404,2.051,1.2787,0.12969,26.892,12.388,10.634,6.629,3.4825,1.4041,4.2233,1.111,5.6245,4.9054,21.658,4.7697,17.661
1.045,1.07,1.0498,-3.9667,-13.955,-15.491,206.61,33.963,-2.8187,10.113,1.9946,-0.33662,0.16513,27.419,14.503,5.775,6.459,3.4912,2.369,5.4323,2.3355,9.784,4.3904,11.189,4.4147,13.104
1.045,1.07,1.035,-5.3085,-19.546,-22.698,275.94,50.119,-3.5548,12.922,0.99705,0.26354,-1.0166,47.617,14.706,8.1842,7.8089,3.7308,2.1027,6.9975,1.598,11.275,4.9845,25.212,2.3793,16.934
1.045,1.07,1.0356,-4.6509,-17.221,-19.268,241.92,41.323,-2.027,8.7596,1.4648,-1.7179,-0.95276,38.128,19.104,8.6511,9.0694,2.4135,2.2635,8.359,1.2256,17.189,0.46433,14.152,5.9684,23.371
1.045,1.07,1.0465,-4.7758,-16.884,-18.041,247.97,73.66,-4.037,3.4095,1.8868,-2.6651,0.49598,15.92,16.673,9.8046,5.7306,5.1401,1.6665,7.6317,1.2821,16.981,5.3497,12.716,1.6994,23.465
1.045,1.07,1.0408,-4.5544,-15.896,-17.801,236.67,59.038,-7.131,6.3137,1.9762,-1.0788,0.0023113,31.584,21.039,7.5455,3.9514,4.6631,1.9567,5.007,0.61149,9.3273,6.9041,10.844,4.113,8.5228
1.045,1.07,1.0496,-4.3377,-15.308,-17.078,225.55,48.721,-3.179,6.1017,2.029,0.079279,0.77263,28.376,13.285,5.2646,5.3373,4.6864,0.14183,6.8653,1.5394,8.7021,5.1771,14.633,4.806,14.861
1.045,1.07,1.0329,-5.3216,-19.704,-22.766,276,59.634,-2.6299,2.5443,1.0312,0.55229,-0.74567,50.871,16.682,11.625,7.2037,4.2071,1.31,10.139,0.45661,13.231,7.2352,13.697,2.6791,20.954
1.045,1.07,1.0492,-3.7561,-12.926,-14.334,195.46,34.199,-2.7889,7.4926,2.169,1.5983,-0.0051274,21.509,16.713,4.8365,6.8642,3.0587,1.7976,2.1916,1.555,9.1528,2.5976,12.772,5.16,3.4125
1.045,1.07,1.0442,-4.2648,-15.19,-16.696,221.83,45.639,-3.5378,6.293,0.98264,0.95387,1.0316,21.466,17.539,8.28,4.208,2.1074,2.2184,2.9801,1.4863,17.466,5.2909,14.443,5.3538,19.272
1.045,1.07,1.0461,-4.6688,-16.743,-18.8,242.65,53.455,-2.8751,6.2389,2.028,-0.42163,-0.017782,32.658,14.744,7.1816,2.7596,4.2033,2.1948,6.5179,2.3413,13.464,4.8767,14.805,4.8348,24.321
1.045,1.07,1.0381,-4.4682,-16.227,-18.306,232.59,37.324,-4.5397,11.21,2.4061,0.53958,0.68685,34.784,17.95,8.2569,6.2394,4.5496,2.2179,4.6725,1.0581,12.411,7.3418,15.589,5.156,17.494
1.045,1.07,1.0495,-4.1532,-14.804,-16.175,215.99,45.262,-4.2461,3.8889,2.3302,0.30489,2.1372,25.757,11.286,3.161,6.7391,2.9805,1.1761,4.6365,1.3466,19.065,6.5299,9.428,5.615,17.651
1.045,1.07,1.0538,-4.1531,-15.167,-16.916,216.59,29.007,-5.3308,10.035,1.4596,1.4598,-0.14578,26.13,6.7938,10.643,6.4597,3.6616,1.1821,5.5721,1.617,14.405,9.5186,14.212,5.4201,17.365
1.045,1.07,1.0527,-4.3654,-14.969,-16.123,226.89,63.803,-4.5587,5.4799,1.4369,1.197,0.088751,10.075,14.296,6.2909,3.134,4.174,1.4954,5.8211,1.1299,8.6438,5.7136,18.96,4.5603,14.254
1.045,1.07,1.0446,-4.7448,-17.458,-19.736,246.74,44.697,-3.2407,7.0319,2.0949,2.1185,1.1584,34.569,15.351,10.65,1.8744,3.5734,1.7395,7.0439,2.0467,16.586,5.9783,15.13,3.2337,19.638
1.045,1.07,1.0341,-4.967,-18.065,-20.94,258.05,48.764,-1.9885,9.4401,1.2816,-0.56823,0.31606,48.981,20.405,8.2741,4.9456,4.0607,1.9274,8.6601,1.1477,7.4609,4.1555,16.576,3.5253,16.166
1.045,1.07,1.0238,-5.0829,-18.927,-22.122,263.97,41.282,-1.4269,9.7917,1.5928,1.1477,1.2789,55.013,18.681,6.8049,7.3174,3.4454,1.6437,4.3679,1.2537,15.569,7.5395,18.369,7.0064,16.359
1.045,1.07,1.0527,-4.7378,-16.805,-19.014,246.32,56.727,-4.4434,7.3199,2.3353,-0.1641,-0.53302,30.389,11.82,12.184,0.78266,3.4524,1.4645,7.175,1.2906,10.543,5.5741,13.911,4.2463,17.226
1.045,1.07,1.0454,-3.9475,-14.242,-15.462,205.68,31.67,-4.0292,8.3912,1.2157,0.20127,0.19339,24.565,20.517,9.8272,5.8763,3.2464,2.5152,7.0735,1.7322,15.055,4.0174,5.8485,3.5239,11.036
1.045,1.07,1.0248,-4.9707,-17.693,-20.417,257.96,58.752,-4.4648,8.0148,1.3741,-0.9838,0.72173,46.41,25.713,7.2518,7.1478,0.40823,1.7756,5.2109,1.4455,11.264,5.1893,14.952,4.5114,15.734
1.045,1.07,1.0528,-4.6568,-16.339,-17.692,242.46,58.282,-4.4487,14.185,2.9009,-0.49038,-1.2018,17.038,13.833,10.728,3.6518,5.4118,2.4268,6.1771,1.2453,14.123,3.8797,12.881,3.1413,20.092
1.045,1.07,1.0243,-4.7332,-16.731,-18.846,245.7,58.742,-4.658,7.1334,1.3093,-0.77366,-0.37568,36.239,26.871,7.9276,5.8472,4.0907,2.4833,3.4097,2.1522,10.501,7.7816,13.397,7.5471,25.772
1.045,1.07,1.0441,-4.415,-15.313,-16.016,229.69,60.728,-3.7515,11.546,1.9751,0.44897,-0.016044,6.9106,20.523,11.031,3.5237,3.5213,1.8782,7.2925,1.0464,12.456,6.4123,13.06,5.9456,18.248
1.045,1.07,1.0421,-4.7385,-17.085,-19.006,246.57,50.407,-3.0321,11.69,1.1911,-0.89174,-1.4349,26.082,13.291,5.7361,6.6149,3.3495,1.5959,3.2219,0.73188,15.92,7.7083,25.217,5.4092,20.22
1.045,1.07,1.0511,-4.0471,-14.967,-16.642,211.04,23.959,-5.3084,8.5964,2.1548,1.5542,0.19163,19.025,10.497,11.246,6.4214,4.8317,1.9721,6.3579,1.477,8.3567,6.9998,26.055,4.3495,21.902
1.045,1.07,1.0366,-4.0268,-15,-17.184,209.86,14.518,-2.15,10.795,1.8456,-0.22722,0.85202,35.305,22.167,12.323,5.7635,5.9979,1.9188,1.3504,1.4411,11.678,4.6438,17.517,4.1163,12.505
1.045,1.07,1.046,-4.1779,-14.444,-15.262,217.29,55.448,-4.2311,7.9546,2.1029,-0.43557,0.44736,10.279,17.956,7.016,4.87,2.3111,1.5516,6.1008,1.927,11.692,9.72,15.449,4.2331,14.87
1.045,1.07,1.0449,-4.821,-16.93,-18.768,250.36,66.949,-3.1382,6.4967,1.4541,-0.49911,1.872,23.516,13.715,7.645,4.8529,3.4075,2.2719,5.5656,2.0536,12.513,2.4673,19.111,5.4974,18.618
1.045,1.07,1.0297,-4.7999,-17.591,-19.989,249.43,45.597,-2.8772,8.695,1.7657,0.41588,-0.11507,39.209,21.983,10.349,7.2412,4.786,2.1308,6.6007,1.8491,10.65,7.7408,17.547,3.8264,37.689
1.045,1.07,1.039,-4.3264,-15.857,-17.913,225.09,36.176,-4.9739,5.4913,1.495,-0.31142,0.46024,33.868,17.205,10.709,7.6145,3.6509,2.992,4.8484,1.7421,13.788,6.3545,14.388,4.5543,26.624
1.045,1.07,1.0438,-4.6727,-17.331,-19.863,243.16,38.341,-3.5065,7.3166,0.5122,-0.71223,0.1683,38.861,14.35,12.463,3.8483,2.388,1.8585,6.7776,1.3361,14.509,7.5143,18.263,2.4159,16.374
1.045,1.07,1.0507,-3.636,-12.415,-13.63,189.39,33.817,-5.2946,8.1366,0.94349,-1.2067,0.36053,17.354,15.864,6.8986,6.1635,4.2674,2.1158,4.8245,1.3745,0.32452,6.9642,16.968,5.2386,22.573
1.045,1.07,1.0342,-4.5241,-16.415,-18.242,235.28,44.711,-3.1267,8.5062,1.517,0.056206,-1.8734,33.649,24.311,12.037,5.1939,2.3579,1.8268,7.3067,1.3255,15.588,5.0026,7.5757,6.0652,18.413
1.045,1.07,1.0501,-3.9026,-14.391,-16.285,203.35,20.829,-3.42,6.1328,2.0098,-1.3436,1.0261,34.592,15.167,5.754,2.7795,4.9797,1.7585,4.7909,2.0108,12.994,3.4743,14.793,5.1927,21.983
1.045,1.07,1.0361,-4.8912,-18.131,-20.133,254.25,51.518,-5.0447,6.3968,1.7418,-0.12877,0.14747,31.533,22.253,5.4948,0.42501,4.0301,2.7338,8.4654,1.5366,15.801,6.4706,24.166,4.337,13.28
1.045,1.07,1.042,-4.6487,-16.787,-19.873,241.54,41.335,-2.3765,5.7917,1.6177,-0.03896,0.0016814,49.091,13.081,9.5004,5.7167,2.4168,1.9486,5.2438,0.90327,7.7309,4.8014,16.168,4.6788,16.827
1.045,1.07,1.0344,-4.3543,-15.906,-17.008,226.34,46.567,-0.88846,5.1751,1.2668,0.48529,-1.4006,18.232,23.052,10.959,7.1797,1.4989,1.2647,6.4635,1.5731,20.33,6.6399,13.461,6.0495,15.483
1.045,1.07,1.0427,-4.4639,-15.772,-17.155,232.04,57.452,-4.5603,5.6019,0.84384,-0.16677,0.090394,20.649,18.994,11.587,7.0309,3.7841,1.638,6.7111,1.9289,13.597,3.1253,9.8648,4.7984,34.736
1.045,1.07,1.0313,-4.398,-15.782,-17.126,228.52,50.704,-2.8072,6.0228,1.605,-1.4136,-0.29327,18.474,26.479,13.64,5.9939,3.1938,1.494,4.1507,1.3882,13.966,7.7197,16.705,4.7141,28.91
1.045,1.07,1.0354,-4.5644,-16.878,-18.205,237.42,47.175,-5.0346,6.5248,2.0277,0.71306,0.32982,27.22,26.272,11.553,3.3284,5.0471,1.6383,10.366,2.2567,18.476,4.9442,6.4163,4.2415,20.611
1.045,1.07,1.0518,-4.0807,-14.375,-16.683,212.4,34.217,-3.6838,6.8298,1.0954,-0.61838,-0.72661,40.485,8.4678,8.7444,6.4191,2.255,1.7095,3.8495,1.6992,9.833,7.0162,6.302,6.5065,11.516
1.045,1.07,1.0336,-5.0482,-18.614,-20.689,262.47,54.639,-5.1618,10.016,1.5506,-1.4916,-0.76141,34.208,19.873,9.0139,4.1534,4.1022,2.6439,6.2262,1.8703,19.48,9.1508,18.245,4.1487,21.387
1.045,1.07,1.0489,-4.2763,-15.041,-16.159,222.7,48.437,-3.9308,11.512,1.6041,-0.55406,0.58109,15.771,11.287,10.692,8.5882,2.1826,2.9748,9.8994,0.52776,7.9095,9.2559,15.037,4.3718,13.022
1.045,1.07,1.0527,-4.4541,-16.098,-18.437,231.51,44.174,-1.1428,2.8525,1.1952,-0.20625,0.48598,35.333,10.27,5.9415,2.2137,3.676,1.0383,4.9853,2.1899,13.264,4.6979,18.144,3.7381,29.576
1.045,1.07,1.0483,-4.8905,-17.589,-19.461,254.07,63.19,-2.4261,5.3565,1.169,-0.87809,0.23874,23.584,6.4457,11.451,5.1328,4.0233,1.6366,6.6507,1.6379,15.438,7.3044,18.671,7.8882,20.52
1.045,1.07,1.0563,-3.8827,-13.707,-15.73,202.36,27.523,-5.3811,8.152,1.4694,0.29408,-0.52352,34.332,11.01,5.9765,5.1077,4.8061,1.7505,6.8635,1.0374,2.751,1.8289,12.53,5.9706,18.636
1.045,1.07,1.0483,-4.4368,-15.914,-17.586,230.85,46.799,-3.9785,8.363,2.9398,-0.70061,-0.19436,19.643,12.972,13.81,4.0956,3.8723,1.3504,4.5108,1.0042,13.21,6.3091,18.157,5.9788,20.457
1.045,1.07,1.037,-4.3886,-15.818,-17.833,228.22,40.877,-2.7936,7.6873,1.7156,-0.20769,-0.88366,33.021,18.824,10.68,9.4869,2.4957,1.2052,4.8526,0.76759,12.784,3.2155,13.38,6.3952,14.293
1.045,1.07,1.0437,-4.2495,-15.332,-16.678,221.19,40.931,-3.4885,8.8711,2.7604,-0.73174,1.2891,20.648,14.571,6.1366,3.3684,3.6752,2.5154,6.5349,2.1441,12.003,7.3317,20.831,8.9765,12.14
1.045,1.07,1.0414,-4.5924,-16.946,-19.087,238.65,44.918,-2.4453,2.862,1.4261,-0.25244,0.8376,38.188,15.665,10.181,5.6014,4.1204,1.8559,7.1378,1.9513,18.075,3.7443,9.2145,5.2433,11.556
1.045,1.07,1.03,-4.9152,-17.517,-19.522,255.1,65.817,-5.3199,5.0263,1.2737,-0.025539,-0.1711,35.857,22.813,9.0679,8.0049,5.1888,2.0798,6.6773,1.8069,13.344,6.5927,8.025,5.1712,15.642
1.045,1.07,1.0538,-4.2468,-15.128,-17.425,221.14,37.071,-5.485,7.4868,1.0196,-0.47115,1.7506,37.048,6.0928,7.7118,7.4731,3.9936,1.4719,4.3499,1.4908,9.7661,6.0649,12.608,4.4844,15.979
1.045,1.07,1.0395,-4.9995,-18.207,-20.44,259.77,57.279,-3.6123,7.5479,1.3246,-0.036524,1.3655,30.552,13.759,10.628,7.2811,4.0157,1.3536,5.001,3.1623,17.22,3.2306,20.152,4.6641,29.17
1.045,1.07,1.0511,-4.51,-16.193,-18.288,234.81,43.059,-3.9102,10.678,2.039,-1.2154,1.6753,33.805,7.6999,9.3789,7.341,3.5517,1.5832,5.6573,1.2001,14.151,3.1413,12.431,5.4189,11.911
1.045,1.07,1.0565,-4.042,-14.436,-16.284,210.57,31.795,-2.6904,8.3113,1.8016,0.077474,-0.46,29.834,8.3567,7.3146,6.5338,2.5322,2.0025,7.3138,1.027,9.2859,2.4104,13.805,5.1787,31.836
1.045,1.07,1.0448,-4.0611,-15.103,-16.952,211.44,27.148,-5.4501,3.449,2.2051,-0.4697,-0.55941,26.258,16.794,8.0307,11.42,4.2659,0.093568,2.6836,1.5602,15.657,4.1502,23.037,-0.6853,18.09
1.045,1.07,1.0431,-4.8996,-17.848,-20.463,254.76,50.507,-4.8189,7.4386,0.47691,0.077089,0.078175,42.656,14.433,12.202,4.4761,2.5592,1.1324,6.3171,0.94156,17.164,3.7582,9.6817,4.9475,20.461
1.045,1.07,1.043,-4.6037,-16.146,-18.321,238.91,60.354,-3.5435,2.2198,1.8534,-0.18344,0.89437,33.5,11.82,7.4183,8.1866,2.3106,1.2083,5.7434,2.4121,9.8324,6.7989,13.655,5.7404,26.812
