V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0583,-5.5111,-16.145,-17.156,256.64,53.51,-3.7957,6.0729,2.0349,1.0293,-0.35151,35.679,12.206,10.213,3.2973,4.3581,3.3099,11.066,1.6332,12.27,19.222,5.8496,11.568
1.045,1.07,1.053,-5.8181,-15.95,-16.602,270.18,81.432,-5.113,8.4833,1.1478,0.58247,0.1498,26.028,16.477,7.0851,6.2634,3.7982,2.4984,5.927,2.5191,14.34,17.796,5.1347,9.9975
1.045,1.07,1.0594,-4.363,-12.549,-12.637,204.23,34.244,-1.7432,8.3878,1.8629,-0.88765,-0.62031,20.133,22.791,9.0091,1.364,3.5146,1.5684,7.9919,1.7467,13.144,10.934,2.4842,12.596
1.045,1.07,1.0469,-5.8806,-16.802,-17.458,273.28,73.461,-6.2422,7.1467,1.8792,-0.5294,0.93419,28.495,18.58,9.5598,8.2342,4.4564,1.2559,4.1609,1.2658,18.356,22.832,6.5531,10.85
1.045,1.07,1.0582,-5.3819,-15.267,-16.637,250.53,54.833,-4.4454,6.5571,0.51277,1.0673,-0.71842,38.024,12.233,7.3689,5.2035,4.2633,2.5068,2.7063,1.5926,14.064,19.127,4.1399,11.892
1.045,1.07,1.0359,-5.3505,-15.925,-17.739,249.48,34.995,-2.9239,9.1799,2.6759,1.1611,1.2661,51.297,29.389,16.051,5.4494,2.3311,1.6457,5.8469,1.7006,12.004,14.207,2.7473,5.465
1.045,1.07,1.0579,-4.7764,-12.853,-12.846,222.7,58.759,-1.9402,10.606,2.0778,1.5308,-0.55979,16.419,17.619,3.1109,5.6034,4.1042,2.0742,3.2557,1.9014,15.994,9.4696,6.3346,13.914
1.045,1.07,1.0697,-4.9797,-13.771,-14.992,232.05,50.981,-5.1289,6.981,1.5524,-0.11176,-0.28594,37.218,2.4876,7.5438,7.6691,2.6292,2.1108,8.3551,1.6793,9.9686,8.1501,3.6679,8.5262
1.045,1.07,1.0547,-4.6165,-13.03,-13.891,215.4,41.061,-4.6134,5.4318,1.7236,-1.234,-0.85415,34.668,18.149,9.4065,7.2027,1.6269,0.70873,7.8194,1.1044,10.764,7.0929,5.6197,5.4401
1.045,1.07,1.0619,-4.8881,-14.415,-14.558,228.48,41.532,-1.8087,8.4192,1.3011,1.3598,-0.7287,21.663,12.401,10.355,5.9877,1.0054,2.1953,7.1257,0.84637,21.104,15.702,5.5295,3.1212
1.045,1.07,1.0592,-4.459,-13.422,-14.542,208.86,18.383,-3.4909,6.6462,1.9717,-0.37658,0.85898,39.5,15.014,5.313,2.8571,2.4427,2.8574,5.2675,2.4597,12.528,20.728,4.3227,7.6299
1.045,1.07,1.0562,-5.0924,-14.922,-15.451,237.81,45.494,-5.0134,8.7954,1.2213,-0.87304,-1.323,34.411,19.045,9.3627,5.1232,3.9618,2.1132,9.6321,1.2962,17.449,8.6502,3.098,11.842
1.045,1.07,1.0513,-4.8267,-13.154,-13.662,224.88,55.411,-3.5658,8.2488,1.319,-0.27747,1.7053,22.225,21.501,9.2883,4.5756,3.918,2.2005,3.1344,2.1452,11.737,11.491,6.2503,12.72
1.045,1.07,1.0466,-4.9737,-13.843,-14.869,231.65,51.593,-5.7506,6.7891,1.4368,-0.43748,-1.2125,32.749,26.044,12.521,4.1475,3.1372,2.1102,5.8123,1.6793,8.9205,10.185,5.6146,9.4738
1.045,1.07,1.0587,-4.9179,-14.319,-15.206,229.42,43.04,-5.7333,4.2081,0.65862,-0.55654,-0.75164,32.671,13.203,9.1199,7.1238,3.7005,1.9421,10.277,1.3136,8.9591,17.704,4.8451,11.304
1.045,1.07,1.0523,-5.546,-15.691,-16.786,257.77,63.073,-3.2141,5.587,1.7107,2.0079,0.85995,28.93,16.172,13.305,4.8256,4.6181,2.1947,4.4195,1.0654,12.531,19.904,5.7807,12.238
1.045,1.07,1.0602,-5.0081,-14.413,-15.424,233.93,42.116,-6.0492,10.069,1.1682,-1.3247,1.0773,39.788,13.775,5.8667,3.3413,2.7203,1.8336,8.6423,2.0689,12.472,13.034,4.7354,8.3602
1.045,1.07,1.0496,-4.8133,-12.957,-13.839,223.96,56.631,-4.3457,5.8443,1.1218,-1.0985,1.6665,32.933,21.479,4.5271,5.7515,3.2334,1.6618,3.6965,2.2391,9.7774,8.8069,6.3778,10.51
1.045,1.07,1.0533,-4.4395,-13.027,-13.283,207.77,31.198,-2.4955,7.3406,1.8302,-0.33092,0.40937,23.306,22.111,5.1489,6.2721,4.6339,1.3655,5.9284,2.2057,12.26,19.978,3.2515,15.015
1.045,1.07,1.0446,-5.435,-16.319,-17.188,253.59,45.032,-4.9796,9.0661,2.0473,-2.3513,-0.29826,41.571,22.249,10.532,8.268,1.9911,1.669,11.132,2.0354,14.92,18.792,4.6788,4.9941
1.045,1.07,1.0481,-5.0435,-14.35,-15.051,234.86,51.905,-1.1935,5.7921,2.1515,-0.39972,-1.3424,29.393,21.783,11.898,6.4782,3.2633,0.9578,5.1807,1.2639,14.275,12.738,7.541,9.5453
1.045,1.07,1.0618,-4.7557,-12.726,-13.554,221.19,58.142,-2.5402,3.8396,1.3181,-0.45975,0.056769,25.044,11.736,9.433,6.9186,5.8035,2.0911,5.4659,1.7206,7.0922,7.5097,3.9414,19.817
1.045,1.07,1.0567,-5.0195,-14.299,-15.138,234.1,48.355,-5.8006,7.828,2.287,-1.0392,0.67447,29.227,14.131,11.496,5.4663,3.1776,3.1907,6.3257,2.1434,11.723,16.289,6.1155,9.6188
1.045,1.07,1.0586,-4.3374,-11.337,-11.632,202.08,52.721,-2.7474,5.6607,1.4929,0.89328,0.37856,15.88,17.296,7.6249,5.1243,3.4422,1.9197,4.2129,1.7049,8.5974,5.4807,6.9043,13.042
1.045,1.07,1.0591,-5.3994,-15.021,-16.128,250.84,65.812,-5.6315,3.391,1.7117,0.38148,1.8953,34.309,10.431,8.5052,5.1407,1.9381,1.3103,4.5412,0.9599,15.506,13.945,6.7244,5.5413
1.045,1.07,1.0411,-5.8375,-16.917,-17.913,271.33,65.642,-5.2252,6.191,0.96997,0.6896,2.3687,38.217,25.099,13.683,3.9564,3,1.8098,6.9684,1.3027,18.098,13.949,6.9237,7.2377
1.045,1.07,1.0596,-4.6212,-12.938,-13.677,215.82,39.725,-1.653,9.2386,2.7543,0.73115,0.42451,24.204,17.048,7.6728,3.1098,3.1252,2.2917,4.1813,1.1679,9.5017,18.522,3.1058,10.423
1.045,1.07,1.0596,-5.0978,-14.41,-15.459,237.45,51.164,-2.7148,6.8126,2.7751,-1.5441,1.1704,34.031,10.677,8.0579,5.9423,3.3184,2.2056,6.5055,2.0921,10.726,17.309,4.914,9.9078
1.045,1.07,1.0639,-5.641,-15.459,-16.782,262.07,69.989,-1.5239,8.0246,1.2555,0.7832,0.84623,35.406,9.3009,7.2928,2.6073,4.8498,1.9697,4.779,0.96734,12.006,15.302,2.2803,13.364
1.045,1.07,1.052,-5.4392,-15.851,-17.1,253.35,50.195,-2.4336,7.5578,1.9804,-1.1917,-0.21599,39.519,18.078,11.191,3.9883,2.7515,1.8875,7.9637,1.824,11.842,20.652,4.1446,7.1962
1.045,1.07,1.0592,-4.8624,-13.46,-14.205,226.99,48.252,-3.5814,10.917,0.42766,0.39985,-2.2528,20.973,12.915,11.436,8.248,4.2965,2.4268,5.1568,2.1144,7.2887,18.29,5.1379,13.818
1.045,1.07,1.0539,-5.3458,-14.412,-15.301,248.44,68.146,-2.0987,8.654,1.7004,3.317,-0.37511,31.99,15.748,6.7892,8.737,3.5666,1.0231,5.1114,0.99486,13.923,4.9338,4.5945,10.504
1.045,1.07,1.0553,-5.4703,-15.167,-16.587,254.48,60.592,-5.8905,8.8683,2.0562,1.1942,-2.1253,34.82,14.452,12.08,5.6184,4.6934,2.4706,6.5074,1.5855,6.8943,15.991,5.5729,13.053
1.045,1.07,1.0561,-4.9035,-14.296,-15.395,228.83,38.378,-3.2954,5.9911,1.6355,-0.33569,-0.54068,36.54,17.34,8.9345,3.0631,4.7655,2.4193,4.8476,2.1006,12.848,16.661,4.6786,14.294
1.045,1.07,1.0513,-5.3866,-15.66,-17.103,250.94,47.854,-4.4092,7.2283,1.5771,-0.56723,0.53171,46.086,15.615,11.716,5.8769,3.4241,1.2397,7.7304,2.1152,13.263,11.768,6.7046,9.1752
1.045,1.07,1.047,-4.625,-13.836,-13.931,216.58,31.681,-3.8305,9.2153,1.1342,-0.040439,-0.2084,27.169,25.693,8.4763,7.3217,2.1714,1.4778,5.4333,1.5227,20.757,12.68,5.8189,6.6821
1.045,1.07,1.0569,-4.9764,-14.259,-15.228,232.08,44.234,-2.5902,7.09,1.3568,1.1775,1.362,36.748,14.295,6.2443,6.4015,4.8521,1.2697,4.999,2.1086,14.907,11.44,4.2035,14.843
1.045,1.07,1.0649,-5.373,-15.268,-15.904,250.2,60.687,-2.024,7.2225,1.3461,-0.05113,-3.0676,22.643,8.5325,7.775,5.6283,4.2146,1.7028,6.154,1.5776,13.496,25.387,4.9067,11.841
1.045,1.07,1.0613,-4.6843,-13.715,-14.794,219.05,29.329,-4.4745,7.5956,1.6838,2.4819,0.89145,32.804,12.91,13.989,3.0925,4.7172,1.2478,8.2368,1.5915,9.9038,10.866,5.8312,15.227
1.045,1.07,1.0543,-4.9352,-13.517,-13.776,229.71,62.45,-5.0072,6.1961,2.9863,-2.272,-1.4664,18.985,19.633,10.724,6.2314,4.9054,1.7696,3.6345,1.4304,14.379,10.495,6.3773,15.714
1.045,1.07,1.0421,-5.0363,-14.707,-15.815,234.76,42.29,-4.1498,5.3481,1.0426,-0.38282,2.1719,36.354,25.035,9.8309,5.8011,3.7077,2.6976,6.0472,1.3416,9.12,21.435,5.6069,9.8076
1.045,1.07,1.0627,-4.8635,-14.058,-15.102,227.23,37.799,-3.0468,8.6781,0.6762,-1.2264,0.025358,39.817,10.008,6.4035,4.8384,3.2272,1.5976,5.5585,1.5893,15.524,11.554,5.8663,10.214
1.045,1.07,1.042,-4.87,-14.28,-15.136,227.42,37.268,-4.0702,8.0223,1.9735,-1.8032,0.013226,37.62,25.271,9.3646,9.1283,2.7767,1.6256,4.0509,2.0208,15.232,14.782,5.7241,7.7943
1.045,1.07,1.0622,-4.1376,-12.548,-13.014,194.07,17.26,-4.0084,4.2667,1.5355,-1.1516,1.3564,28.346,15.129,9.0448,4.5084,1.8955,2.1583,5.7204,0.67449,16.585,15.048,3.3392,6.7397
1.045,1.07,1.0537,-4.8761,-14.133,-14.282,227.65,46.448,-3.0405,7.913,2.3707,-0.61421,-1.2338,25.297,20.429,7.2132,7.3533,3.8575,1.0167,7.5384,2.1815,17.207,12.761,4.5214,11.998
1.045,1.07,1.0526,-4.8905,-14.772,-15.48,228.75,31.28,-4.6993,8.1074,1.912,-0.11902,-1.5144,35.445,20.158,11.278,6.0877,2.8242,1.6635,8.9369,2.0269,16.028,14.797,4.4618,8.2296
1.045,1.07,1.0721,-3.7029,-10.288,-10.484,173.64,23.721,-2.8444,4.6343,1.134,1.0438,0.79141,19.75,7.4499,3.8535,5.3223,3.1659,1.8272,5.598,0.70737,12.098,4.4834,5.7139,13.987
1.045,1.07,1.054,-5.008,-14.309,-14.849,233.73,47.728,-3.0974,9.7235,0.9397,0.93693,2.4705,26.059,16.234,8.598,6.2873,4.9855,1.421,6.7778,0.84125,12.361,15.923,6.7368,15.052
1.045,1.07,1.0579,-4.7765,-13.823,-14.383,223.22,39.375,-4.1842,8.8195,1.9465,-0.35309,0.94258,26.034,15.766,9.0655,4.7502,4.4318,2.172,2.731,2.1752,16.657,16.81,5.257,14.015
1.045,1.07,1.0549,-4.8126,-13.866,-14.381,224.67,42.074,-1.8004,7.7261,2.0726,1.1732,0.55814,23.492,20.62,12.29,3.2995,3.6038,1.3666,8.3562,2.1004,11.021,15.187,4.286,11.276
1.045,1.07,1.0607,-5.4121,-15.54,-17.004,252.26,49.581,-6.0471,9.0317,1.2839,0.63447,0.50807,41.316,12.18,8.144,3.0262,3.3949,1.8285,4.8509,1.5623,13.658,19.016,2.4054,9.3959
1.045,1.07,1.0554,-4.7866,-13.41,-14.046,222.94,50.157,-2.1896,4.1882,1.845,0.18271,-0.3039,20.575,19.718,13.516,3.7136,5.6895,1.2688,4.5699,1.4528,9.8248,14.623,5.1972,18.257
1.045,1.07,1.0664,-4.5559,-13.073,-13.127,212.86,42.78,-3.9333,5.4461,2.0273,0.64689,-0.17743,15.195,10.515,6.9707,7.8105,2.6245,1.949,8.4371,1.7335,13.215,18.78,2.2284,9.053
1.045,1.07,1.056,-4.5863,-12.846,-13.435,214.05,43.709,-5.3847,6.0634,1.178,-0.33204,0.18185,18.769,16.403,12.875,7.3307,3.2372,1.8128,7.4545,2.0985,5.1776,18.252,6.1594,10.747
1.045,1.07,1.0557,-4.4512,-12.116,-12.643,207.97,42.095,-3.5425,10.314,1.4308,0.34485,2.3933,21.537,18.481,3.4079,4.8749,3.6204,1.8866,5.0388,1.6096,5.4693,17.949,5.8281,12.633
1.045,1.07,1.0568,-5.4081,-16.068,-17.613,251.94,44.124,-5.2812,4.2357,1.9617,-0.18684,-1.7154,50.822,11.764,6.4149,6.0774,2.2937,1.7696,5.9581,1.2541,18.027,17.537,4.8656,6.0268
1.045,1.07,1.0617,-4.7402,-13.932,-14.386,221.76,34.385,-1.095,9.719,1.8067,0.69251,0.40896,26.341,12.329,9.2873,5.7343,3.6109,2.6491,8.8402,1.9678,13.841,15.596,4.0015,11.559
1.045,1.07,1.0574,-4.3464,-12.21,-13.481,203.15,29.051,-3.1665,6.7138,1.1795,-1.0923,0.32469,39.237,14.68,5.1457,5.8709,2.2144,2.2678,6.3466,1.2806,5.1163,12.695,5.9822,7.7133
1.045,1.07,1.0762,-4.0591,-11.119,-11.385,190.35,31.663,-6.1219,10.376,1.9016,0.87166,-1.0713,20.364,4.513,1.3363,5.3238,2.3503,1.2051,7.4704,1.3674,10.416,8.9474,5.1441,9.7449
1.045,1.07,1.0487,-4.9253,-13.461,-14.235,229.37,55.37,-4.7799,8.1411,2.0585,-0.39132,0.3295,25.55,21.394,10.267,7.4273,4.62,1.4559,5.7285,2.0452,6.2558,13.636,6.3466,14.377
1.045,1.07,1.0646,-4.7468,-13.137,-13.877,221.39,47.878,-3.9102,7.2464,1.985,1.0685,0.20879,26.429,12.849,6.7929,3.8729,3.6557,0.98593,2.0675,1.8629,15.355,11.557,3.0527,12.384
1.045,1.07,1.0595,-5.0818,-13.888,-14.487,236.71,60.704,-4.448,9.0409,0.96408,0.56328,-0.77458,23.496,14.768,3.9759,5.464,3.1443,2.2194,2.3714,0.93135,14.019,18.403,4.5856,9.7816
1.045,1.07,1.0582,-5.1066,-14.188,-14.409,237.57,64.721,-3.3002,4.6469,1.4049,1.1121,-0.05683,14.695,15.599,9.485,5.1267,3.8013,2.5231,6.1411,2.1407,13.215,18.562,5.6233,11.576
1.045,1.07,1.0468,-5.0278,-14.745,-15.87,234.86,36.848,-6.1762,9.6918,1.5738,0.21961,-1.2811,37.652,23.681,12.578,4.8386,3.5379,2.5595,7.3217,0.81727,10.455,15.782,6.1002,9.8893
1.045,1.07,1.0545,-4.7184,-13.988,-14.558,220.62,32.647,-2.7035,7.4152,1.9396,1.3569,-0.83529,32.096,16.898,7.3403,7.9092,2.5342,1.7128,6.8052,1.6201,16.83,14.208,5.6256,7.8738
1.045,1.07,1.046,-4.8396,-15.359,-15.645,226.98,21.118,-5.7797,9.3701,1.9145,-1.5531,0.2503,31.245,24.333,11.925,9.5197,2.7328,0.90522,6.1551,2.4718,22.437,23.168,2.5151,7.0845
1.045,1.07,1.052,-5.3658,-15.786,-17.096,250.21,44.773,-5.1876,8.137,1.5708,-0.83038,0.53519,41.624,14.286,11.516,7.5549,4.3327,2.8499,5.2774,1.339,14.743,18.165,4.9359,11.475
1.045,1.07,1.0694,-4.7802,-12.755,-13.362,222.75,57.713,-4.7867,8.2033,1.617,0.40242,-1.0682,20.719,7.7953,2.6901,5.8464,2.1687,0.95239,3.7169,2.1161,10.739,16.841,3.7951,7.4721
1.045,1.07,1.0618,-4.9986,-13.059,-13.619,232.4,69.284,-0.92015,8.5017,1.6976,-0.55272,-1.9542,21.426,13.737,4.8846,5.0064,3.6608,1.8551,4.6541,1.8737,9.3479,10.806,5.2592,11.974
1.045,1.07,1.0607,-4.98,-14.472,-14.887,232.25,48.891,-4.4106,4.8425,1.8395,-0.4631,-0.61592,24.693,13.267,9.1532,6.5399,3.6488,1.6267,5.3558,1.4441,18.306,17.215,4.1363,11.168
1.045,1.07,1.0617,-4.6115,-13.483,-13.228,215.71,41.135,-2.326,7.8094,1.9133,-0.26834,-0.98151,17.104,14.971,9.8219,7.0598,3.7587,1.5446,6.6817,1.5199,21.722,9.0557,4.6988,12.732
1.045,1.07,1.0508,-4.939,-13.883,-14.784,230.06,50.959,-5.0846,5.2533,0.8754,-0.83125,0.51972,26.429,19.676,14.718,7.6597,4.3087,2.1335,4.7744,1.3183,9.1395,14.992,4.0888,13.128
1.045,1.07,1.0609,-4.5235,-12.951,-13.469,211.59,36.016,-4.0193,8.345,0.97436,-1.2466,0.77301,29.403,13.114,3.4547,7.4533,3.4048,1.3582,2.9258,1.1966,16.602,14.196,4.5068,11.726
1.045,1.07,1.0526,-4.8501,-13.497,-14.083,226.25,49.099,-2.0587,9.9509,1.818,-0.51621,-0.27027,23.363,16.17,14.047,8.3367,3.6544,2.0885,5.1309,1.2803,11.355,10.322,8.4161,11.592
1.045,1.07,1.0574,-5.065,-14.129,-15.657,236.07,46.641,-4.5183,8.9043,1.6135,0.19253,-1.401,42.704,11.115,8.5723,8.4277,3.1634,2.3987,5.1147,2.2769,9.6218,10.379,4.7835,9.5946
1.045,1.07,1.0639,-4.5248,-13.334,-13.834,211.78,30.04,-2.9782,7.3356,2.3584,0.079463,-0.2902,23.558,13.406,11.919,3.8913,3.6312,2.2155,4.2808,1.8984,16.725,15.644,3.3628,12.223
1.045,1.07,1.0545,-4.9016,-14.124,-15.005,228.59,42.976,-2.942,5.7998,1.6642,0.78456,-0.02095,33.674,18.123,8.0964,3.5541,3.8387,2.0878,7.8429,1.6965,11.19,14.256,6.5358,11.707
1.045,1.07,1.0477,-5.1153,-14.171,-15.662,237.84,54.433,-3.3152,4.6389,1.122,-1.3679,-0.025842,41.789,18.563,12.606,9.8917,1.972,1.5563,6.6755,2.1067,7.5077,8.5274,4.088,5.7193
1.045,1.07,1.0392,-5.5423,-15.459,-16.316,257.61,68.23,-5.0341,8.0117,1.6516,-1.5469,-0.20694,35.256,28.286,12.736,6.0143,2.6412,1.7054,8.6783,0.61499,11.491,8.9258,7.3875,6.9739
1.045,1.07,1.0436,-5.7104,-16.401,-17.934,265.89,55.691,-4.2791,11.431,1.313,-1.6015,-0.85226,47.179,24.977,8.9449,3.8436,5.1459,1.1274,5.0262,1.493,12.07,17.837,4.3822,12.631
1.045,1.07,1.0468,-5.9027,-16.61,-17.374,274.16,75.656,-3.1945,8.1004,1.1607,1.2449,2.9951,32.204,18.965,13.303,6.5529,3.6141,2.4448,9.9016,1.2923,14.96,10.095,5.7086,9.0838
1.045,1.07,1.0534,-4.6779,-13.303,-14.312,218.47,37.853,-4.3379,7.6681,0.64147,-1.3703,0.10037,40.22,19.65,8.2641,6.6036,2.6115,1.6785,5.2679,1.4638,14.068,4.9096,3.3893,8.5262
1.045,1.07,1.0599,-5.4232,-15.991,-16.677,252.99,50.454,-4.3785,9.132,1.8041,-0.55478,0.46857,31.737,11.586,7.4807,5.1086,3.7576,0.90619,6.5009,0.802,18.542,23.039,5.175,10.094
1.045,1.07,1.0734,-4.751,-13.347,-14.028,221.74,45.407,-1.6199,7.1548,1.6627,0.28944,0.042677,26.099,3.4494,6.833,5.2611,3.3593,2.1435,7.5472,1.3317,12.407,13.254,2.2876,11.431
1.045,1.07,1.0527,-5.3058,-15.301,-16.335,247.3,49.915,-3.055,8.9431,1.6833,-0.29569,1.3681,34.349,18.746,11.019,5.091,3.9486,1.1936,5.9373,1.4417,13.05,18.337,2.3869,10.915
1.045,1.07,1.0657,-4.8984,-14.631,-15.536,229.03,32.366,-3.4982,7.232,1.1773,1.683,0.10821,35.666,7.5008,8.682,4.495,4.496,1.8871,4.4014,1.613,20.226,14.089,5.3241,13.796
1.045,1.07,1.0602,-4.5251,-12.208,-12.835,211.28,46.317,-4.9922,9.7339,1.5462,-0.80849,0.26451,21.119,18.104,11.07,3.8318,2.9323,2.4857,3.9449,1.5137,8.9739,9.6794,2.4702,10.561
1.045,1.07,1.0665,-4.7239,-13.286,-14.108,220.48,43.278,-3.258,7.0023,1.1526,0.37759,1.5981,26.584,8.1571,6.6159,5.3695,2.5099,1.2228,4.9783,1.552,11.388,18.366,3.6581,8.3668
1.045,1.07,1.0577,-5.4094,-15.54,-18.026,251.85,42.447,-5.8672,6.261,1.5436,-0.49286,-1.6267,60.269,9.2211,7.0269,3.097,3.6675,0.5238,2.5016,1.6242,10.089,17.337,7.7111,9.572
1.045,1.07,1.0628,-5.0982,-14.496,-15.711,238.03,42.577,-2.9978,11.991,2.0647,1.5111,-0.087004,33.513,11.122,11.319,1.3832,3.1583,2.0477,5.2659,1.7946,11.754,15.918,6.0472,9.4856
1.045,1.07,1.0611,-4.9169,-14.06,-15.109,229.31,44.096,-3.1392,5.9734,1.0638,-0.99904,-0.69567,39.545,15.462,7.4882,2.8622,2.405,1.3597,6.154,1.2642,15.547,9.0308,2.9058,7.5853
1.045,1.07,1.0584,-5.4465,-15.915,-17.302,253.79,47.927,-3.6749,7.5166,1.7388,0.17233,-0.11585,41.374,7.2762,10.87,8.095,3.5855,0.68233,8.1023,1.8603,12.427,18.921,7.1095,9.5354
1.045,1.07,1.0556,-5.7227,-16.121,-17.281,266.02,66.383,-2.073,8.3762,1.8912,0.60075,-0.075102,35.142,12.1,11.26,6.8048,5.021,1.189,5.6836,1.4567,14.192,15.215,5.2874,13.135
1.045,1.07,1.0558,-4.7939,-13.411,-14.607,223.55,42.364,-4.8278,7.2617,2.5729,1.3034,-0.35942,33.881,19.167,11.438,4.1438,3.7989,1.8645,4.4216,1.3113,9.8301,9.7367,2.6333,12.22
