V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0562,-5.3284,-14.832,-15.704,248.14,61.004,-5.9238,9.4758,1.3795,-0.89124,0.032418,30.718,9.4916,3.8853,3.4092,5.8659,1.2528,12.708,14.278,5.716,-2.5962
1.045,1.07,1.0524,-5.104,-14.745,-15.754,237.88,46.913,-3.7462,5.8156,1.112,0.35357,0.017673,28.271,12.72,7.474,3.6324,8.2126,1.3801,6.6054,24.007,4.7833,0.98282
1.045,1.07,1.053,-4.9704,-13.711,-14.101,231.46,60.247,-6.0618,6.4349,1.2122,-1.2183,0.49677,26.322,5.157,10.135,3.9708,6.3046,2.2301,13.035,10.828,6.0992,-3.8619
1.045,1.07,1.0558,-5.1255,-14.218,-14.757,238.79,58.555,-2.9957,9.3626,1.1492,0.62897,0.77475,21.048,14.13,6.4181,4.0772,5.3281,1.5683,13.228,11.37,4.3005,1.9221
1.045,1.07,1.0548,-5.3089,-14.864,-15.925,247.07,57.58,-3.2541,7.6772,1.5054,1.9894,0.83611,35.422,7.1232,4.8265,3.1193,5.4754,1.1238,13.778,12.941,4.139,5.7322
1.045,1.07,1.0583,-5.303,-15.409,-15.511,247.36,56.259,-4.0049,9.3202,1.9696,0.37779,-0.055866,20.383,9.9489,4.4006,3.6137,5.9844,1.6001,21.42,17.869,4.4369,1.0764
1.045,1.07,1.0547,-5.2063,-14.791,-15.944,242.68,50.034,-4.6789,8.6456,0.5747,0.48332,1.0322,38.973,7.9279,6.3576,4.5204,4.9348,1.3412,13.949,11.762,2.4659,1.412
1.045,1.07,1.0556,-4.7474,-13.607,-14.149,221.85,40.727,-3.1339,9.2926,0.7913,-0.7827,0.87538,28.46,7.7124,5.8442,3.2752,5.4999,2.0396,14.221,13.999,6.7151,-2.5124
1.045,1.07,1.0569,-4.6648,-14.239,-14.352,218.56,28.704,-3.7876,8.261,1.7722,-0.57455,0.50668,24.181,9.5604,6.3831,3.9474,6.1743,1.0838,20.331,18.622,5.5688,-1.7561
1.045,1.07,1.0564,-5.0008,-14.522,-15.041,233.55,43.745,-2.8496,9.8338,1.8486,0.50587,0.30131,27.614,10.638,6.7092,4.3348,4.9518,1.6144,17.994,13.369,3.1839,1.5322
1.045,1.07,1.0558,-4.8703,-14.331,-15.157,227.56,37.077,-5.4189,7.2021,1.0824,-0.49516,-1.042,34.288,10.216,6.1931,3.7868,4.1443,1.5005,17.6,13.717,5.2641,-1.5109
1.045,1.07,1.0516,-5.749,-16.351,-17.946,267.45,59.038,-4.2232,10.032,2.8169,0.59279,-2.6178,43.131,13.575,4.8756,4.7463,5.8922,1.7577,12.155,13.996,5.6138,1.5033
1.045,1.07,1.0544,-5.0332,-13.88,-14.596,234.17,59.549,-3.4138,5.3109,1.5388,-0.48061,0.15912,20.036,12.787,8.7925,3.0245,5.4386,1.8205,7.9039,19.769,2.9036,-1.4619
1.045,1.07,1.0519,-4.8843,-13.664,-14.581,227.43,50.629,-3.0419,4.901,1.8085,-1.4949,0.82813,38.124,6.0863,8.6193,2.9341,2.5002,1.8779,17.037,6.7458,6.0824,-4.6841
1.045,1.07,1.0491,-5.2367,-15.078,-16.492,244.02,45.579,-3.412,7.7514,1.0759,0.95889,1.6976,36.347,16.612,7.0837,1.6908,5.2958,2.1287,10.848,17.105,5.9971,2.6018
1.045,1.07,1.0553,-5.2962,-13.959,-14.867,245.96,74.324,-5.8382,7.4514,1.4591,0.1169,1.4696,24.016,9.5456,3.5981,3.8338,5.3368,1.7989,6.3968,13.057,7.0423,0.35217
1.045,1.07,1.0512,-5.9935,-18.211,-18.657,279.24,58.274,-3.95,8.3941,1.3763,1.9514,-0.81027,29.792,11.576,6.9835,3.7598,9.6011,0.90994,22.761,26.888,4.3552,4.4021
1.045,1.07,1.0573,-5.1409,-14.537,-15.656,239.19,54.028,-4.8398,3.2042,0.95074,1.8176,1.3109,32.513,8.1133,2.1972,3.8813,4.4171,1.7658,12.372,17.545,4.1615,5.3684
1.045,1.07,1.0633,-4.4272,-12.756,-12.981,207.15,34.667,-3.6978,7.3259,1.8983,1.4429,-0.16118,21.454,8.0314,2.9933,2.7077,4.7101,1.9277,18.079,10.681,3.4843,5.1517
1.045,1.07,1.0594,-4.8425,-13.543,-13.532,225.94,55.226,-4.5737,8.3504,1.1485,-0.5792,0.17019,10.722,12.265,8.1145,3.981,4.6009,1.0004,14.993,16.481,1.6088,-1.8917
1.045,1.07,1.052,-4.5894,-13.223,-14.595,214.39,29.051,-4.1349,6.6406,2.2555,0.58816,-0.10303,40.901,5.5842,6.5342,1.1154,2.2893,1.4938,11.271,18.022,7.7129,1.7881
1.045,1.07,1.0551,-5.1733,-15.078,-15.647,241.48,48.094,-4.6108,9.5053,1.2183,-1.2885,0.60646,31.361,8.5809,5.4869,2.5702,7.6927,1.2442,16.52,16.966,5.714,-3.7123
1.045,1.07,1.0585,-4.91,-14.239,-14.663,229.18,45.542,-4.2847,6.6907,1.8479,0.24051,-0.64764,24.994,10.77,3.7381,4.6174,7.1366,1.5247,15.565,13.437,6.2812,0.74963
1.045,1.07,1.0554,-4.5548,-12.893,-14.463,212.4,33.113,-1.2354,3.8668,1.8831,-1.7031,-0.71287,42.276,13.342,5.4508,4.2475,3.4417,2.448,8.7023,6.5758,3.6724,-5.5382
1.045,1.07,1.0594,-4.8228,-14.28,-15.083,225.55,33.296,-4.0689,8.5352,1.3824,-0.81586,0.54383,34.415,8.2222,2.3336,5.0596,6.7764,2.3609,14.344,15.91,3.7841,-2.5208
1.045,1.07,1.0586,-5.1461,-14.808,-15.439,240.05,50.187,-5.177,8.5472,1.8799,0.49107,0.83622,22.395,16.626,4.4564,4.2989,6.0183,1.6162,14.635,15.571,1.8111,1.4569
1.045,1.07,1.054,-5.2208,-14.694,-16.628,243.06,45.733,-2.7021,7.6324,1.9686,1.0734,-0.093004,47.89,6.4316,5.5619,2.869,7.9927,1.5212,2.8154,18.936,0.13311,2.9935
1.045,1.07,1.056,-4.7301,-14.343,-14.998,221.4,27.356,-4.6114,7.2067,1.4522,0.61061,1.6596,34.999,11.197,5.7726,2.5037,6.0343,1.3078,20.678,11.394,4.3907,1.8735
1.045,1.07,1.0561,-4.6876,-14.205,-14.572,219.45,28.634,-2.0378,7.8985,1.943,-0.24355,0.48692,31.269,8.1273,4.4312,1.5009,7.9535,2.1078,19.324,15.62,7.7328,-0.74398
1.045,1.07,1.0528,-5.5269,-16.019,-16.789,257.54,57.224,-4.3819,9.4872,1.2907,-1.821,-0.16322,38.254,9.1574,5.3942,2.6979,8.651,1.0477,18.083,12.658,7.0349,-4.8934
1.045,1.07,1.0581,-4.8809,-15.056,-14.914,228.64,32.385,-3.3473,8.9225,0.70824,2.0832,0.18171,19.732,7.9337,5.727,2.8931,7.3214,1.7054,23.291,23.543,4.6895,5.9359
1.045,1.07,1.0544,-4.3946,-13.425,-14.434,205.92,15.75,-5.1563,5.3674,2.6973,-0.45808,-0.038326,43.003,6.16,8.3014,4.398,7.1643,2.4301,13.499,13.016,4.2635,-1.447
1.045,1.07,1.0548,-5.8203,-16.287,-16.969,270.65,73.911,-3.7635,10.717,1.6805,-0.49893,-0.68326,26.978,9.2301,4.3661,1.6774,4.3844,1.4785,18.196,21.211,4.8759,-1.2852
1.045,1.07,1.0489,-5.3338,-15.592,-16.971,248.88,42.519,-6.0157,10.06,0.42415,1.8901,-0.76054,39.296,12.97,8.863,2.8848,4.1002,1.3712,14.063,18.753,6.1029,4.9808
1.045,1.07,1.0556,-5.0407,-13.948,-14.565,234.74,58.827,-5.9382,6.9488,1.8138,-0.98153,-1.2416,29.098,6.5526,9.0504,2.3565,7.8931,1.9287,11.584,11.783,3.6397,-3.0702
1.045,1.07,1.0602,-4.4541,-12.715,-12.216,208.28,45.198,-3.6472,7.2832,1.9681,-0.79347,-0.42001,6.217,10.132,6.1276,2.4263,6.8404,1.3362,16.417,16.181,7.1511,-2.7561
1.045,1.07,1.0574,-4.601,-13.442,-14.362,215.15,31.052,-5.8732,6.4943,1.246,0.24032,-2.1416,31.515,12.998,6.6646,4.5235,4.1034,1.716,13.757,11.673,4.4905,0.78615
1.045,1.07,1.05,-5.1324,-14.162,-15.054,238.86,58.918,-4.9467,7.4443,1.7266,-0.71962,0.59593,29.323,9.1308,9.8079,4.5713,8.144,1.565,5.3538,15.483,6.8131,-2.1319
1.045,1.07,1.0536,-5.1596,-14.774,-15.226,240.35,55.617,-1.7854,6.5629,1.6805,-1.2258,-0.053567,28.862,6.2637,6.4688,2.9472,7.3988,1.4716,15.526,16.963,7.2483,-3.553
1.045,1.07,1.0524,-5.3228,-15.309,-16.301,248.03,51.066,-3.0832,8.602,1.5588,1.8292,-0.076581,34.814,11.299,6.1092,4.0535,7.1252,1.913,13.924,13.215,6.1079,5.0995
1.045,1.07,1.0575,-4.4492,-12.749,-13.881,208.12,28.971,-5.5335,7.8053,2.0546,-3.0867,0.25931,45.445,7.1542,4.6434,2.9471,6.3297,1.1672,13.011,1.5264,5.2297,-10.615
1.045,1.07,1.0596,-4.8872,-13.081,-13.62,227.57,60.7,-2.2546,8.6405,1.1122,-0.70658,2.0131,28.672,-0.18491,4.3754,4.211,6.8071,2.2088,9.8669,9.702,2.4064,-2.3493
1.045,1.07,1.0601,-4.7782,-13.681,-13.754,223.06,48.81,-3.6759,6.7639,1.6995,-1.501,-0.55152,18.484,10.973,5.6628,4.2121,6.7921,1.8122,16.404,12.549,3.7955,-4.9257
1.045,1.07,1.0579,-4.3994,-12.451,-13.398,205.76,31.236,-5.746,7.4912,0.92324,0.2863,-0.80474,28.362,7.1806,7.4631,3.003,4.3498,1.0804,6.9079,18.907,2.9365,0.98407
1.045,1.07,1.0546,-4.7915,-13.444,-14.005,223.61,47.352,-4.1597,8.4198,0.9548,-0.33446,-0.89783,21.583,10.775,7.2719,4.2475,4.5877,1.1868,10.285,16.996,7.6406,-1.0639
1.045,1.07,1.0559,-4.8394,-14.117,-14.668,226.54,35.683,-6.0486,12.764,1.6574,0.45234,-0.12181,26.153,11.879,6.9763,4.5216,6.2379,1.3838,13.76,15.226,5.3527,1.4074
1.045,1.07,1.0579,-4.8658,-14.327,-15.011,227.16,39.882,-4.6244,5.0724,1.427,-0.31863,1.613,33.595,5.7495,2.6431,1.8642,7.0116,1.7645,16.487,17.713,5.3315,-0.96954
1.045,1.07,1.059,-4.7063,-13.244,-13.489,219.61,48.985,-3.7526,6.6682,1.654,-1.029,-0.06063,16.578,13.62,5.734,3.1949,2.5981,2.198,17.106,12.617,4.5136,-3.4387
1.045,1.07,1.058,-4.7964,-13.538,-13.985,223.92,47.415,-5.4669,8.2932,1.4649,-0.32285,-1.0381,26.064,10.481,6.3041,3.0301,5.3418,2.319,16.629,7.4372,5.3039,-1.0653
1.045,1.07,1.0549,-5.4493,-15.684,-16.721,253.77,55.266,-4.189,7.8229,1.7567,-0.08408,0.25859,32.864,13.735,3.4808,2.4332,6.0379,1.9116,15.119,17.739,4.7442,-0.22805
1.045,1.07,1.0533,-4.7395,-14.136,-14.902,221.63,29.954,-1.622,7.6709,1.5734,0.29056,2.0622,33.069,8.4014,7.0975,3.0822,6.5953,2.1182,13.757,19.226,4.5783,0.86414
1.045,1.07,1.053,-5.6021,-15.045,-16.192,260.68,69.556,-4.1598,15.433,1.9122,0.11709,0.12058,35.372,4.6154,8.3555,3.1293,4.9629,0.93096,9.5301,14.605,1.8951,0.32544
1.045,1.07,1.0598,-4.4029,-13.521,-13.915,206.61,19.005,-4.7728,7.5292,1.625,-1.0915,-1.0288,28.3,10.191,5.1499,3.4805,7.3573,1.8701,16.569,17.104,4.52,-3.5599
