V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,P13,P14,LoadMargin
1.045,1.07,1.0558,-4.6606,-12.875,-13.46,217.06,51.969,-5.7975,3.0712,-1.4941,24.757,11.137,8.449,2.8146,5.2497,11.834,8.7385,37.832
1.045,1.07,1.057,-4.7425,-12.916,-13.275,220.8,58.072,-3.8208,4.8496,-1.8524,20.369,5.7765,7.4793,3.8521,6.855,8.211,15.266,19.343
1.045,1.07,1.0582,-4.8427,-13.577,-14.123,225.77,49.936,-2.477,6.8098,0.94793,30.644,5.7359,4.814,2.5687,4.8311,18.112,6.4591,18.699
1.045,1.07,1.059,-4.9661,-13.094,-12.881,230.85,75.572,-3.3904,6.3928,-0.14749,7.2684,8.1286,6.8495,3.6797,5.7714,12.94,10.913,26.735
1.045,1.07,1.0538,-5.4667,-15.625,-17.059,254.46,54.215,-4.4093,7.4448,-0.2662,41.474,8.7371,3.0954,3.3779,4.666,12.991,18.886,23.379
1.045,1.07,1.0548,-5.3948,-15.519,-15.883,251.4,58.732,-2.8941,9.3244,0.51351,27.16,8.3676,6.5005,1.7944,6.0527,21.031,15.858,23.35
1.045,1.07,1.0557,-4.9288,-14.739,-15.176,230.67,34.522,-2.8991,11.236,-0.42755,31.123,7.6372,6.473,4.5142,11.339,12.967,17.397,22.615
1.045,1.07,1.0593,-4.2073,-12.149,-12.565,196.98,28.147,-3.8624,5.9662,-0.53727,23.548,7.4383,6.1155,2.5425,4.0422,13.441,15.128,26.897
1.045,1.07,1.0549,-4.8571,-13.87,-14.486,227.12,40.994,-5.4519,12.543,-0.31154,28.191,9.9575,8.1973,3.2973,5.3197,13.819,13.428,31.426
1.045,1.07,1.0529,-5.0703,-14.481,-15.872,236.44,42.091,-2.9295,8.6117,1.7005,39.088,10.411,5.7656,4.0198,4.216,11.143,14.262,30.262
1.045,1.07,1.0592,-4.5228,-12.937,-13.729,211.04,37.021,-2.4508,3.2351,1.3566,31.941,5.7166,3.5227,1.9603,5.5819,13.543,12.235,19.441
1.045,1.07,1.051,-5.3196,-15.448,-16.174,247.79,53.449,-2.3383,6.6413,-0.30526,34.65,9.4697,9.1486,4.147,5.084,19.345,13.157,26.197
1.045,1.07,1.058,-4.4767,-13.432,-13.73,209.65,28.13,-3.1674,6.5864,-2.0362,31.661,5.9267,6.4975,3.864,7.3782,18.061,11.75,19.741
1.045,1.07,1.0573,-5.2112,-14.247,-15.638,242.4,58.641,-4.3752,7.2662,-0.33765,34.414,8.9983,1.3636,4.5129,5.6626,5.1863,16.509,26.718
1.045,1.07,1.0601,-4.6493,-12.778,-12.916,216.8,53.342,-3.5735,6.5653,-0.17972,15.162,7.4889,5.1829,4.2722,6.34,10.685,14.149,25.828
1.045,1.07,1.0533,-4.8405,-13.98,-14.584,225.78,44.289,-2.9631,5.3253,-0.49948,29.555,11.585,9.3143,3.07,5.3358,16.586,10.688,36.022
1.045,1.07,1.0587,-4.2743,-11.793,-12.51,199.62,36.588,-2.9621,5.6317,-0.42602,23.099,8.789,5.7693,1.6842,9.0671,1.8835,15.82,31.993
1.045,1.07,1.0557,-5.1967,-15.262,-15.799,242.68,46.411,-5.1822,10.039,-0.72826,27.512,8.902,5.4257,4.971,7.2206,14.575,22.053,24.976
1.045,1.07,1.0518,-4.886,-14.423,-15.223,228.35,36.218,-6.1306,8.1381,-0.62299,35.101,11.88,10.252,3.7957,6.9346,15.072,11.766,35.538
1.045,1.07,1.0541,-5.2991,-15.566,-16.213,247.43,45.811,-3.3128,11.544,1.3407,25.836,13.026,5.8406,3.853,5.442,16.358,21.981,35.377
1.045,1.07,1.0558,-5.5313,-15.754,-16.548,257.39,62.311,-2.938,7.6998,0.74218,30.845,3.6103,2.9421,4.3624,5.988,14.08,24.332,9.5899
1.045,1.07,1.0534,-5.4535,-15.197,-16.226,254.01,59.532,-4.2249,12.138,1.3457,33.243,9.4612,5.9847,2.1985,6.0529,12.658,14.683,26.472
1.045,1.07,1.0537,-5.2785,-14.602,-15.409,245.69,61.715,-4.0094,8.9599,0.0041146,28.868,10.596,7.3456,2.8347,6.9965,11.292,12.617,31.09
1.045,1.07,1.0592,-4.7035,-13.626,-14.212,219.84,37.627,-4.4994,7.7795,0.37479,24.963,10.585,3.6109,4.2495,3.8982,15.219,15.846,34.29
1.045,1.07,1.0583,-4.7244,-13.072,-13.738,220.35,48.741,-5.7083,7.1002,-0.29107,27.992,4.8469,5.2973,1.979,6.7638,9.8877,14.045,16.251
1.045,1.07,1.0593,-4.3679,-12.818,-13.259,204.66,26.267,-3.9704,8.2996,1.1017,26.233,7.156,5.3506,4.4392,6.6109,12.929,13.77,24.889
1.045,1.07,1.0619,-4.5494,-12.625,-13.136,212.31,44.944,-3.0546,6.343,-0.402,20.758,10.269,1.9506,2.9539,3.3401,13.192,12.379,36.028
1.045,1.07,1.0574,-4.8822,-13.716,-14.287,227.69,50.411,-5.1875,7.4027,-0.12792,23.099,8.4722,5.5577,4.0012,8.4416,7.6611,18.241,26.824
1.045,1.07,1.0527,-5.2032,-14.047,-14.67,241.91,67.555,-2.7744,7.8875,1.1544,25.445,4.4036,9.3451,3.3483,4.0022,12.235,14.4,13.255
1.045,1.07,1.0555,-4.7364,-13.983,-15.173,221.48,27.389,-0.98541,8.6224,0.1118,41.117,8.69,4.2148,4.2694,4.2111,14.405,13.273,26.527
1.045,1.07,1.0537,-5.9213,-16.773,-17.445,275.21,75.045,-3.4844,8.8534,-0.42179,28.915,8.8187,4.4259,3.0104,5.6459,18.643,21.269,21.999
1.045,1.07,1.0602,-4.5245,-13.111,-13.28,211.59,37.832,-4.5546,6.7734,-0.3413,20.72,9.1854,5.0374,2.8973,8.0556,14.068,13.883,31.494
1.045,1.07,1.0547,-5.0693,-14.258,-15.057,236.24,52.84,-4.841,7.8468,-0.063152,29.502,14.28,6.9557,3.1058,5.85,14.313,7.7795,43.616
1.045,1.07,1.0586,-4.8069,-13.843,-14.241,224.67,42.106,-3.5251,9.8158,-0.63673,24.728,9.2995,4.5785,1.7261,5.7167,16.468,15.698,29.673
1.045,1.07,1.054,-4.9625,-14.246,-15.533,231.46,40.961,-3.8703,7.112,-0.32792,37.606,9.4806,5.4493,4.7005,6.2311,7.9875,17.256,28.049
1.045,1.07,1.0552,-4.9754,-14.076,-14.586,232.06,50.777,-3.5079,8.5716,0.040596,19.983,13.554,7.2489,3.8982,6.5509,10.664,17.495,41.496
1.045,1.07,1.054,-5.4072,-15.439,-16.311,251.89,56.501,-3.2887,9.4128,-0.62744,29.765,11.996,5.204,2.2287,4.2545,15.984,19.704,32.844
1.045,1.07,1.0556,-5.4464,-16.188,-16.418,254.02,54.257,-3.6357,8.2229,-1.0687,27.666,11.734,5.3393,3.6849,6.6249,24.629,15.363,31.669
1.045,1.07,1.0527,-6.0423,-17.478,-18.033,281.09,72.096,-4.5216,10.306,-0.11357,32.408,8.1033,5.4483,3.9296,8.8102,20.123,19.353,19.563
1.045,1.07,1.0519,-5.3748,-14.668,-15.687,249.68,67.911,-1.8878,6.5674,-0.36144,33.566,5.2693,7.6953,2.0325,5.0195,11.231,16.076,14.986
1.045,1.07,1.0588,-4.6975,-13.906,-14.697,219.59,32.325,-2.0042,6.3711,-1.9671,34.624,11.358,2.6259,4.2577,8.1307,13.594,11.695,36.06
1.045,1.07,1.0486,-6.1569,-16.909,-18.284,285.09,88.227,-3.0368,3.6715,-0.43945,39.248,7.2317,6.6581,4.198,5.3096,12.552,18.426,17.25
1.045,1.07,1.0569,-5.0622,-14.411,-15.081,236.1,50.698,-5.3806,8.3247,-0.41703,33.167,4.2645,5.0824,4.9296,7.0449,13.936,13.348,13.022
1.045,1.07,1.0523,-5.1307,-14.157,-14.599,238.84,61.483,-3.1042,8.164,1.9132,16.777,15.174,10.467,3.0486,5.2015,12.47,13.43,45.744
1.045,1.07,1.0557,-4.8917,-14.069,-14.802,228.43,43.091,-6.3226,8.428,-0.91959,32.557,8.2479,6.8295,2.913,7.3729,13.056,13.628,25.721
1.045,1.07,1.0553,-4.9849,-14.329,-15.615,232.44,42.656,-5.7873,5.8795,-0.75952,35.542,12.053,4.1577,2.439,4.395,11.024,18.587,35.519
1.045,1.07,1.0561,-5.3619,-15.255,-15.259,249.74,65.143,-2.3437,8.6444,-0.81918,18.444,9.9951,6.4156,1.1262,5.5771,21.922,17.232,28.385
1.045,1.07,1.0569,-4.5623,-14.02,-14.197,213.42,29.658,-3.4063,2.4221,-2.0824,27.541,7.5141,7.0152,5.399,6.2145,19.917,17.925,23.332
1.045,1.07,1.0567,-4.864,-14.115,-14.47,226.98,45.574,-4.1105,5.5811,0.8703,22.939,11.014,6.6044,3.9998,7.265,15.236,14.487,34.428
1.045,1.07,1.0557,-5.1566,-14.174,-15.134,240.21,57.202,-5.2865,10.026,0.56647,28.112,10.377,5.2306,4.3968,5.1954,9.0362,14.076,31.466
1.045,1.07,1.0545,-5.7817,-16.04,-17.35,268.67,70.861,-4.1348,9.2231,-1.4526,45.135,5.8016,2.5597,2.5707,9.0443,12.507,10.65,15.259
1.045,1.07,1.052,-5.2569,-15.09,-16.577,245.26,43.669,-6.2308,10.986,0.36964,43.528,9.5627,6.1932,2.6489,6.7803,9.9643,15.944,26.578
1.045,1.07,1.0533,-6.1075,-16.895,-17.367,283.51,88.305,-4.8035,9.3349,-0.044634,29.799,9.7564,6.0611,1.2678,7.8393,22.027,9.0308,24.371
1.045,1.07,1.0588,-4.276,-12.122,-12.431,200,34.159,-4.0601,6.2298,1.0342,28.046,1.8769,7.371,0.093177,5.5197,16.563,9.0347,6.9159
1.045,1.07,1.057,-5.2751,-15.098,-15.569,245.59,59.47,-3.9184,5.4366,-0.035925,24.113,13.786,4.4351,3.0735,9.7267,14.343,13.777,39.945
1.045,1.07,1.0517,-5.3942,-16.388,-17.42,251.41,43.165,-4.8204,3.2591,1.0128,38.863,12.883,6.0802,5.4129,8.2751,17.178,18.646,32.97
1.045,1.07,1.0591,-4.632,-12.76,-13.295,215.97,48.636,-4.1729,5.8583,1.394,19.317,12.055,4.9272,4.9244,4.6302,10.525,9.796,41.623
1.045,1.07,1.0512,-4.9561,-14.28,-15.378,231.12,42.137,-3.9491,6.2822,0.66744,31.442,15.527,9.1644,3.2826,5.1705,10.993,15.167,45.624
1.045,1.07,1.055,-4.7337,-13.485,-14.881,221.13,32.717,-2.218,9.5499,0.58158,44.806,8.9991,5.0667,2.9845,7.9026,8.8678,5.4975,28.53
1.045,1.07,1.0547,-4.7491,-13.293,-14.072,221.23,49.022,-4.8642,3.6424,-0.93748,27.26,12.131,8.2568,3.4131,5.9315,10.131,11.236,39.518
1.045,1.07,1.0531,-5.3674,-14.784,-15.492,249.42,68.887,-1.8404,6.2641,-1.0928,25.282,9.3755,7.2998,4.2721,3.5416,13.343,17.169,26.711
1.045,1.07,1.0565,-4.987,-15.249,-15.73,233.01,34.802,-1.7144,5.1169,0.97982,35.561,7.723,4.5866,2.5478,9.1432,21.716,14.727,22.165
1.045,1.07,1.0554,-5.0682,-14.416,-15.041,236.06,53.81,-3.6797,5.2684,0.40457,24.635,10.945,6.2986,5.0057,8.8731,9.3124,16.858,32.808
1.045,1.07,1.0559,-5.6006,-15.741,-16.27,260.61,69.034,-3.3186,9.8225,-1.091,31.639,9.1713,4.5438,3.1434,6.6731,20.432,8.3878,25.262
1.045,1.07,1.0555,-5.0894,-14.618,-15.132,237.47,48.495,-1.205,9.9263,1.117,28.854,3.5692,6.0268,4.7691,7.2914,13.5,18.874,10.512
1.045,1.07,1.057,-4.5409,-13.215,-13.793,212.3,33.267,-3.4503,6.3997,0.70971,27.132,10.351,6.6032,5.0738,4.0069,15.322,11.494,34.58
1.045,1.07,1.0534,-5.7251,-16.77,-17.459,266.62,60.011,-3.6921,8.8018,0.5602,35.27,9.2826,5.1441,4.2755,6.6282,21.975,15.542,23.69
1.045,1.07,1.0637,-4.5475,-13.134,-13.448,212.61,37.997,-4.6777,6.3994,0.12551,21.521,8.674,0.59415,3.6608,7.9603,12.958,14.713,29.882
1.045,1.07,1.0612,-3.7455,-11.27,-12.235,176.48,-0.98206,-4.8579,9.144,0.38641,40.725,6.5779,3.7766,1.6845,7.7298,10.569,5.193,25.531
1.045,1.07,1.0537,-5.4149,-15.193,-16.367,252.06,58.281,-3.9922,9.1463,0.37821,33.412,10.936,4.885,2.6568,6.9081,9.5296,18.199,30.302
1.045,1.07,1.0596,-4.1792,-11.578,-11.692,195.41,38.137,-2.7817,6.5208,-0.9564,19.919,4.6053,7.3598,2.0555,3.7591,14.483,9.8381,17.624
1.045,1.07,1.0568,-5.1398,-14.669,-14.729,239.7,57.225,-2.9103,9.2232,-0.82642,21.882,6.8565,6.6159,5.3484,7.7723,16.892,14.09,20.621
1.045,1.07,1.0553,-5.4043,-15.23,-15.691,251.68,63.089,-3.1091,9.8184,0.075364,25.513,9.1734,5.927,3.7469,5.5517,17.412,14.789,26.04
1.045,1.07,1.0559,-4.6201,-13.785,-14.522,215.98,30.536,-6.0227,4.0479,0.49813,32.534,10.991,6.8949,3.732,6.6161,15.359,12.722,34.964
1.045,1.07,1.0497,-6.0794,-17.386,-18.749,282.31,72.335,-3.9444,6.9376,-1.9136,40.525,11.404,4.9112,3.1595,6.3166,14.547,22.629,26.622
1.045,1.07,1.0534,-5.4723,-15.519,-17.111,254.54,55.666,-3.561,6.5796,-0.41432,42.757,11.086,2.895,3.7127,5.327,10.85,16.081,29.785
1.045,1.07,1.0526,-5.5877,-15.405,-16.414,259.45,72.949,-5.4595,5.2835,-0.033957,35.245,10.08,6.905,3.3209,6.155,14.87,8.2426,27.783
1.045,1.07,1.0505,-5.1271,-14.684,-16.138,238.87,44.621,-3.0275,6.6928,0.27063,39.054,9.1714,7.4841,3.2048,3.854,9.5249,21.108,25.321
1.045,1.07,1.0618,-4.0584,-11.971,-11.802,190.41,24.513,-2.1816,6.795,-0.62138,17.165,6.3534,5.6852,1.3266,9.5372,13.454,15.117,23.777
1.045,1.07,1.0519,-5.2821,-14.841,-16.161,245.87,54.127,-4.3372,7.5576,0.68702,34.481,11.046,6.6578,3.164,3.5867,10.442,18.763,30.933
1.045,1.07,1.0547,-4.972,-14.115,-15.246,232.18,42.169,-5.3807,11.135,-1.0725,34.867,14.103,5.9719,3.3554,4.8754,11.77,10.623,43.128
1.045,1.07,1.0603,-5.0541,-13.801,-13.741,235.08,69.517,-1.0939,5.7862,-1.0831,13.747,7.7642,3.7336,4.9033,6.6679,14.637,12.368,24.584
1.045,1.07,1.0535,-5.373,-15.835,-16.289,250.63,51.741,-4.1114,8.9352,-0.53516,26.415,10.488,6.9375,4.2565,6.0903,18.282,22.299,28.062
1.045,1.07,1.0535,-5.0814,-14.302,-15.409,236.75,49.802,-3.8016,7.6892,0.94462,32.62,11.138,6.6421,4.4046,5.1812,10.15,13.904,33.199
1.045,1.07,1.0547,-4.4051,-12.45,-13.432,205.9,31.845,-4.8097,6.9876,-0.28093,30.209,8.2596,8.5848,2.1077,6.695,4.7101,17.31,27.815
1.045,1.07,1.0499,-5.55,-15.219,-16.06,257.69,73.943,-2.9607,6.2837,-0.58447,30.533,8.0954,10.019,4.3268,4.623,13.342,13.893,22.237
1.045,1.07,1.0588,-4.7545,-13.481,-13.77,221.81,48.786,-5.0113,5.7231,0.12986,19.839,9.8159,5.5799,4.8078,7.8791,11.606,13.766,32.371
1.045,1.07,1.0581,-4.5481,-12.835,-12.737,212.47,46.892,-4.6229,7.2674,-1.6692,16.052,4.5257,8.3979,3.6646,8.4032,11.04,17.611,15.484
1.045,1.07,1.0564,-5.2034,-14.609,-15.404,242.33,56.941,-3.0272,7.949,-0.25828,30.737,6.3644,4.1616,3.3123,6.4889,12.349,16.904,18.743
1.045,1.07,1.0581,-4.3986,-12.553,-13.19,205.55,34.629,-6.3915,4.7167,1.0405,28.1,7.8306,6.6159,4.4806,4.3413,13.286,9.2278,27.791
1.045,1.07,1.0544,-5.7289,-16.262,-17.276,266.68,63.401,-3.9145,11.286,0.80912,34.652,8.242,3.2146,3.5399,4.7611,16.627,19.091,21.379
1.045,1.07,1.0495,-5.5982,-16.132,-17.392,260.5,57.671,-4.4268,7.3412,-1.006,39.328,11.32,7.8167,4.2395,9.9681,8.6399,19.351,29.017
1.045,1.07,1.0567,-4.8665,-14.409,-14.567,227.92,35.741,-4.2922,12.986,1.9584,27.513,6.8334,7.4134,4.4253,7.3005,20.392,10.805,21.308
1.045,1.07,1.0582,-4.8133,-13.149,-13.482,224.41,56.125,-6.1363,8.3495,0.35551,21.347,7.9013,6.6646,2.2849,5.6961,13.731,9.0225,26.553
1.045,1.07,1.0526,-5.6102,-15.706,-16.848,260.88,65.585,-3.4756,8.6624,-1.1769,39.831,6.4538,5.3854,2.2437,3.0967,17.781,14.827,17.293
1.045,1.07,1.051,-5.7467,-16.705,-17.996,267.72,54.271,-4.7619,11.215,2.5516,40.572,9.7525,5.3343,1.941,4.1478,18.716,20.073,24.181
1.045,1.07,1.0581,-4.7426,-13.633,-14.271,221.26,42.841,-4.3498,4.4197,0.73755,27.673,6.7171,4.5807,2.9796,7.7044,11.325,17.364,21.522
1.045,1.07,1.0566,-4.4468,-13.263,-14.281,208.21,21.351,-5.4984,6.0567,1.1144,32.225,11.84,5.4302,4.085,3.9015,12.302,17.046,37.958
1.045,1.07,1.0553,-5.0429,-14.729,-15.576,235.58,40.553,-4.7588,9.943,0.056761,32.257,8.8432,5.4403,2.8144,9.6389,9.7384,20.802,25.575
1.045,1.07,1.0557,-4.8738,-14.144,-15.013,227.55,40.556,-6.239,6.7875,-0.74931,33.352,12.838,6.1733,4.4406,6.8851,13.367,10.128,39.869
1.045,1.07,1.0601,-4.6467,-12.531,-12.719,217.04,51.596,-4.6878,12.434,0.17149,15.595,2.8269,5.3448,1.9252,6.0827,8.2798,19.108,9.7434
1.045,1.07,1.0572,-5.6093,-15.89,-16.895,260.85,66.083,-4.6492,6.5755,-2.4716,37.903,8.1698,0.97079,3.3454,5.9199,17.152,14.609,22.085
1.045,1.07,1.0594,-4.8784,-13.824,-14.558,227.21,49.909,-2.9217,3.2393,0.89894,26.118,9.6053,2.2008,4.0672,8.1408,9.6494,15.546,30.389
1.045,1.07,1.0556,-5.4525,-15.209,-16.174,253.59,64.173,-3.6096,7.6179,0.28428,36.842,7.5622,3.763,1.7812,4.2823,18.864,9.5269,21.375
1.045,1.07,1.0629,-4.325,-12.482,-12.84,202.49,31.575,-5.9946,6.7058,-0.35172,22.886,8.6392,2.5323,2.47,8.3412,11.344,13.208,31.379
1.045,1.07,1.0551,-4.7773,-13.764,-14.863,223.03,36.702,-2.5374,7.1136,-0.37917,36.309,9.0605,5.6106,3.3217,10.004,5.829,15.48,28.101
1.045,1.07,1.0531,-5.0595,-14.149,-14.85,236.05,52.359,-6.1628,11.259,-1.2316,29.105,7.565,9.4448,1.8949,7.0699,10.404,16.765,22.93
1.045,1.07,1.0602,-4.1664,-12.036,-12.521,195.43,23.55,-6.9894,8.921,0.4371,27.952,7.0407,5.9631,3.5304,5.747,13.052,8.2396,26.476
1.045,1.07,1.0536,-5.1379,-14.106,-15.1,239.01,59.451,-3.423,6.682,0.49194,33.74,5.5374,7.2594,3.5984,7.96,7.6335,12.778,16.717
1.045,1.07,1.0564,-5.2333,-15.101,-15.531,243.6,57.561,-2.0723,3.986,0.68413,27.776,5.4466,4.7084,2.2032,6.9526,18.438,18.695,15.565
1.045,1.07,1.0557,-5.2652,-14.818,-15.654,244.7,62.155,-2.8972,2.6918,0.36368,25.106,11.484,4.1453,2.7165,6.0141,11.513,20.653,32.727
